ICAO,IDENT,Province,Name,Altitude,Latitude,Longitude,Owner,Radio
AQAQU,AQAQUILA,L'Aquila,Avios. L'Aquila,650,42°18'3"N,13°31'0"E,NULL,130.000
FRAGN,FRANAGNI,Frosinone,Delta Club Città dei Papi,280,41°43'4"N,13°5'57"E,NULL,NULL
FRALV,FRALVITO,Frosinone,Avios. Amici del Volo,380,41°40'59"N,13°44'53"E,Palmiro Facchini,NULL
FRCCC,FRCECCANO2,Frosinone,Campo Di Volo Giovanni Zaccini,300,41°33'53"N,13°20'40"E,NULL,NULL
FRCEC,FRCECCANO,Frosinone,Avios. Pegaso Flying Club,600/100,41°32'28"N,13°22'17"E,Zaccini Antonio,NULL
FRFEG,FRFERENTGR,Frosinone,Il Grifo,300,41°40'14"N,13°16'30"E,Gino Collalti,NULL
FRFER,FRFERENTAL,Frosinone,Avios. Alicocco,400,41°39'18"N,13°13'35"E,Dell'Orco Antonio,NULL
FRGIU,FRGIULIANO,Frosinone,UFO,320,41°30'43"N,13°16'59"E,Paolo Di Girolamo,NULL
LIAQ,FR_AQUINO,Frosinone,Aerop. di Aquino,950,41°29'8"N,13°43'8"E,AeC RealLazio,126.900
LIQN,RI_RIETI,Rieti,Aerop. di Rieti,830,42°25'34"N,12°51'1"E,Ufficio traffico ENAC / AeC,123.050
LIRA,RM_CIAMPIN,Roma,Aerop. Roma Ciampino,2200,41°47'55"N,12°35'42"E,Aeroporti di Roma,120.500
LIRE,AM_PRATICA,Roma,Aerop. MILITARE Pratica di Mare,2540,41°39'35"N,12°26'43"E,NULL,122.100
LIRF,RM_FIUMIC,Roma,Aerop. Roma Fiumicino,3300 / 3900,41°48'0"N,12°14'20"E,Aeroporti di Roma spa,118.700
LIRG,AM_GUIDON,Roma,Aerop. MILITARE Guidonia,1200/1470,41°59'46"N,12°44'5"E,AMI,122.200
LIRH,AM_FROSIN,Frosinone,Aerop. MILITARE Frosinone,1430,41°38'42"N,13°17'56"E,AMI / AeC,119.350
LIRL,AM_LATINA,Latina,Aerop. MILITARE Latina,1700,41°32'44"N,12°54'33"E,AMI / AeC,119.150
LIRU,RM_URBE,Roma,Aerop. Roma Urbe,1080,41°57'5"N,12°30'4"E,ENAC / AeC,123.800
LIRV,VT_VITERBO,Viterbo,Aerop. di Viterbo,1300-1000-590,42°25'49"N,12°3'51"E,A.M.I. / AeC,127.150
LTAPR,LTAPRILIA,Latina,Avios. Fly Center,600,41°32'50"N,12°40'15"E,Marco D'Ignazi,NULL
LTFON,LTFONDI,Latina,Ass. Volo Amiclae,400,41°18'53"N,13°20'50"E,Umberto Pacella,NULL
LTLAT,LTLATINASM,Latina,Avios. Condor,360,41°24'54"N,12°58'46"E,Antonio Evangelista,NULL
LTPNF,LTPONTINFR,Latina,Avio Pontinia Club,500,41°22'30"N,13°10'29"E,Di Girolamo Crescenzo,NULL
LTPNT,LTPONTINEA,Latina,Pontinia Eagles,400,41°22'44"N,13°8'16"E,Enrico,NULL
LTPON,LTPONTINCA,Latina,Avios. Pegaso Club 2000,600,41°21'33"N,13°9'0"E,Riccardo Nardoni,NULL
