ICAO,IDENT,Province,Name,Altitude,Latitude,Longitude,Owner,Radio
BGMAS,BGCARAVAGG,Bergamo,Careas,500,45°30'42"N,9°40'16"E,Nodari Gaetano,NULL
BGPAL,BGPALOSCO,Bergamo,Campo volo Palosco,300,45°36'0"N,9°49'10"E,Aldo Fedrizzi,NULL
BSART,BSARTOGNE,Brescia,Campo volo di Vallecamonica,450,45°51'15"N,10°8'45"E,Gianni Bonafini,NULL
BSBAM,BSBAGNOLOM,Brescia,Gigi tre Osei,600,45°24'0"N,10°9'52"E,NULL,NULL
BSBED,BSBEDIZZOL,Brescia,Avios. Bedizzole,685,45°31'8"N,10°27'0"E,Pozzani L. - Pasini F.,NULL
BSCAR,BSCARZAGO,Brescia,Avios. Carzago Riviera,450,45°30'54"N,10°27'40"E,Luciano Sorlini,030-601033
BSCEN,BSPANIZZE,Brescia,Le Panizze,600,45°25'0"N,10°33'28"E,NULL,335-5378373
BSCIZ,BSCIZZAGO,Brescia,Avios. Santa Lucia,650,45°29'10"N,9°57'20"E,Luigi Chittò,130.500
BSCLV,BSCALVISAN,Brescia,Campo volo La Zappaglia,520,45°19'36"N,10°22'41"E,Flavio Taino - Ruggero Tononi,"348 5620854 / 348-7443901"
BSLON,BSLONATO,Brescia,Avios. Eroma Country House,600,45°23'36"N,10°33'48"E,Bruno Contrini,030 9129930
BSNUV,BSNUVOLERA,Brescia,Campo Volo Corry's,400/200,45°31'10"N,10°22'48"E,Corrado Orazi,"030-6897239 / 328-6723580"
BSOFL,BSOFFLAGA,Brescia,Blue Devil Center,320,45°23'32"N,10°8'10"E,Mario Bonazza,"030-979238 / 335-5480433"
BSSCR,BSSCARPIZZ,Brescia,Campo Volo Scarpizzolo,400,45°22'39"N,10°2'20"E,Domenico Tedoldi,030-9970128
BSTOR,BSPRADELLE,Brescia,Avios. Pradelle,700 / 350,45°29'30"N,10°7'20"E,Marchini Renato,"030-2150421 / 349-3776973"
CRAZZ,CRAZZANELL,Cremona,Campo Volo Azzanello (Sanel),300,45°17'38"N,9°55'14"E,NULL,131.000
CRDOV,CRDOVERA,Cremona,Avios. Turbo Fly,400,45°22'50"N,9°32'42"E,NULL,119.300
CRTOR,CRTORLINO,Cremona,Punto Volo Torlino,600,45°26'18"N,9°36'26"E,NULL,"0373-90616 / 348-3818842"
LCMON,LCMONTEMAR,Lecco,Avios. Kong,300,45°45'45"N,9°26'42"E,Marco Bonaiti,0341-630506
LILB,CO_ALZATEB,Como,Aerop. Alzate Brianza,600,45°46'10"N,9°9'40"E,AVL Alzate,123.500
LILC,VA_CALCINP,Varese,Aerop. Calcinate del Pesce,600,45°48'33"N,8°46'6"E,ACAO,128.450
