ICAO,IDENT,Province,Name,Altitude,Latitude,Longitude,Owner,Radio
ANFAB,ANFABRIANO,Ancona,Avios. Francesco Rossi,560,43°20'24"N,12°49'37"E,NULL, NULL
ANJES,ANJESI,Ancona,Aerolight Marche (Delta Club Jesi),460,43°30'46"N,13°11'37"E,Marco Monaco, NULL
APFRM,APFERMO,Ascoli Piceno,Avios. del Fermano,500,43°13'25"N,13°44'30"E,Lucilla Canale, NULL
APMGR,APMGIORGIO,Ascoli Piceno,Avios. Guido Paci,800,43°6'18"N,13°33'3"E,Cesare Rossi, NULL
LIDF,PU_FANO,Pesaro Urbino,Aerop. di Fano,1300,43°49'31"N,13°1'40"E,Avioclub Fano,119.650
LIPY,AN_FALCON,Ancona,Aerop. Ancona Falconara,2962,43°36'55"N,13°21'45"E,Aerdorica spa / AeC,119.800
MCCOR,MCCORRIDON,Macerata,Ali del Chienti,370,43°15'35"N,13°31'3"E,NULL, NULL
MCMFA,MCMONTEFAN,Macerata,Ass. Sportiva Flyclub Montefano,430,43°25'25"N,13°23'59"E,Giovanni Salvucci, NULL
MCMSA,MCMCASSIAN,Macerata,Avios. S.Anna,600,43°21'55"N,13°27'30"E,Manfredini Giuseppe, NULL
MCREC,MCRECANATI,Macerata,Avios. Madonna di Loreto,680,43°26'25"N,13°34'11"E,NULL, NULL
PUMON,PUMONTECAL,Pesaro Urbino,Campo Volo Urbino - Ca Virginia,450,43°49'7"N,12°40'38"E,Tino Venturi, NULL
PUVCS,PUVALCESAN,Pesaro Urbino,Avios. Valcesano,820,43°41'52"N,13°4'33"E,Avio Club Fano, NULL
