ICAO,IDENT,Province,Name,Altitude,Latitude,Longitude,Owner,Radio
BAALB,BAALBEROBE,Bari,Al Canale,350,40°48'45"N,17°13'59"E,Ivone,NULL
BAALT,BAALTAMURA,Bari,Avios. Il Nido delle Aquile,900,40°56'32"N,16°29'42"E,Pasquale Pichichero,NULL
BAAND,BACDELMONT,Bari,Avios. Ali sul Castello,1000,41°3'42"N,16°16'56"E,Salvatore Tannoja,NULL
BAFAS,BARFAS,Bari,Dune AirPark,350,40°47'37"N,17°39'30"E,Francesco Guarini,NULL
BAMON,BAMONOPOLI,Bari,Paretano Fly,420,40°49'20"N,17°17'8"E,Giuseppe Di Mola,NULL
BATDQ,BATORITTO,Bari,Campo di volo LA QUERCIA,475,40°57'50"N,16°37'49"E,Dante Di Nisio,NULL
BRCEL,BRCELLINO,Brindisi,Avios. Esperti,600,40°28'48"N,17°53'6"E,Carrisi Francesco,130.000
BRORI,BRORIA,Brindisi,Alipuglia,500,40°28'33"N,17°36'35"E,Bottari Carlo,NULL
BRSPV,BRSPVERNOT,Brindisi,Avios. Antares - Aeroclub Brindisi,420,40°30'14"N,17°57'53"E,Rascazzo Mario,NULL
FGAPR,FGAPRICENA,Foggia,Campo volo Apricena Fly,330,41°47'51"N,15°25'15"E,NULL,130.000
FGISC,FGISCHITEL,Foggia,A.s.v.u. K.Fly,300,41°54'40"N,15°48'12"E,Franco Di Lella,NULL
FGPAL,FGPONTEALB,Foggia,Club Fly & go,400,41°20'48"N,15°31'39"E,Pozzuto Pasquale,NULL
FGSGR,FGSGIOVROT,Foggia,Gargano Volo - Cap. Pil. Saverio Tedesco,750,41°38'6"N,15°45'42"E,Dario Negrin,NULL
LEAND,LEANDRANO,Lecce,Campo Volo Pietralata,300,39°58'14"N,18°22'50"E,Salvatore,NULL
LECAR,LECARMIANO,Lecce,ASD Salento Fly,360,40°21'0"N,18°3'40"E,Torsello Maria Concetta,130.000
LECOP,LECOPERTIN,Lecce,Campo di Volo Condor,250,40°14'15"N,18°2'32"E,Piero Chiriatti,NULL
LEFON,LEFONDONE,Lecce,Avios. Fondone Lecce,720,40°21'20"N,18°14'6"E,Fracasso Luigi,128.450
LEGAL,LEGALLIPOL,Lecce,Gallipoli,500,40°0'58"N,18°1'26"E,"Le Sirenuse - AeC Leuca (Orazio Frigino)",NULL
LEMEL,LEMELENDUG,Lecce,Avios. Melendugno S.Andrea,600,40°14'52"N,18°26'13"E,Quarta Lucio Marcello,NULL
LESUP,LESUPERSAN,Lecce,Avios. Macrì,700,40°3'29"N,18°12'39"E,Alfio Vizzino,NULL
LESUR,LESURBO,Lecce,Campo Volo La Fenice,300,40°22'38"N,18°6'45"E,Antonio Salamina,NULL
LEUGN,LEUGENTO,Lecce,Campo volo Gemini,550,39°53'48"N,18°11'30"E,Giovanni Congedi,146.000
LIBA,AM_AMENDOL,Foggia,Aerop. MILITARE Amendola,2780,41°32'29"N,15°43'5"E,NULL,118.200
LIBD,BA_PALESE,Bari,Aerop. Bari Palese,2440,41°8'15"N,16°45'54"E,"SEAP spa / AeC",118.300
LIBF,FG_FOGGIA,Foggia,Aerop. di Foggia,1440,41°25'56"N,15°32'7"E,"SEAP spa / AeC",120.100
LIBG,TA_GROTTAG,Taranto,Aerop. Taranto Grottaglie,1710,40°31'0"N,17°23'59"E,SEAP spa,118.700
LIBN,AM_GALATIN,Lecce,Aerop. MILITARE Galatina,2023,40°14'21"N,18°8'0"E,NULL,NULL
LIBR,BR_CASALE,Brindisi,Aerop. Brindisi Casale,"1890 - 2530",40°39'29"N,17°56'48"E,SEAP spa,118.100
LIBV,AM_GIOIADC,Bari,Aerop. MILITARE Gioia del Colle,3000,40°46'4"N,16°56'0"E,NULL,122.450
LINB,LEMELPIGNA,Lecce,Avios. Corte,1000,40°6'23"N,18°15'27"E,Antonio Santoro,NULL
LINL,LE_LEPORE,Lecce,Aerop. Lecce-Lepore,700,40°21'27"N,18°17'38"E,Antonio Santoro,119.650
TAMAN,TAMANDURIA,Taranto,Avios. Aerotre,400,40°26'52"N,17°37'23"E,Cosimo Musiello,NULL
TAPLS,TAPULSANO,Taranto,Avios. Monticchio,700,40°22'39"N,17°23'8"E,Fernando D'Ettorre,NULL
