ICAO,IDENT,Province,Name,Altitude,Latitude,Longitude,Owner,Radio
LIAA,TRTERNI,Terni,Avios. Comunale A. Leonardi,870,42°34'24"N,12°35'4"E,Luca Budelli,NULL
LIAF,PG_FOLIGNO,Perugia,Aerop. Foligno,1400,42°55'56"N,12°42'37"E,AeC,NULL
LIAL,PGSILLUMIN,Perugia,Avios. Sant'Illuminato (Greenfield),550,43°21'5"N,12°12'53"E,Marco Silenzi,NULL
LIRZ,PG_SEGIDIO,Perugia,Aerop. Perugia S.Egidio,2360,43°5'49"N,12°30'41"E,SASE spa / AeC,NULL
PGBON,PGCCASTBON,Perugia,Bonsciano,230,43°21'21"N,12°11'35"E,NULL
PGCAS,PGSRITACAS,Perugia,Avios. S. Rita,860,42°45'0"N,13°1'0"E,Gerometta Ennio Sandro,NULL
PGCDC,PGCCASTBEL,Perugia,Luigi Belardinelli,410,43°29'21"N,12°14'21"E,Laterza Dante,NULL
PGCDL,PGCIANNOCI,Perugia,Ciannocio,450,43°7'20"N,11°55'10"E,Alessio Alberati,NULL
PGCRT,PGCRITARDI,Perugia,Ali Libere,600,42°49'53"N,12°41'15"E,La Bruna,NULL
PGCST,PGTRASIMEN,Perugia,Avios. "Trasimeno" Aerop. Eleuteri,800,43°7'59"N,12°2'15"E,Aero Club Trasimeno,NULL
PGDER,PGDERUTA,Perugia,Il Corvo,320,43°0'37"N,12°24'0"E,Maccioni Therry,NULL
PGGCT,PGGUALCATT,Perugia,Avios. del Sagrantino,930,42°53'25"N,12°31'59"E,Francesco Angelelli,NULL
PGGUA,PGGUALTADI,Perugia,Avios. Ali Umbre,650,43°16'22"N,12°44'47"E,Nazzareno Anastasi,NULL
PGGUB,PGGUBBIO,Perugia,Aligubbio,520,43°19'6"N,12°34'25"E,Massimo Paffi,NULL
PGMAC,PGMAGCASEN,Perugia,Molinella,500,43°7'16"N,12°12'19"E,Giovanni Balucani,NULL
PGMAG,PGMAGIONE,Perugia,Campo volo Montemelino,780,43°6'12"N,12°15'7"E,Gabriele Gatti,NULL
PGMAR,PGMARSCIAN,Perugia,Avios. Peter Pan,550,42°58'49"N,12°22'34"E,Rossi Domenico,NULL
PGMFA,PGMONTEFAL,Perugia,Avio Montefalco,500,42°52'51"N,12°41'39"E,Alberto Angelucci,NULL
PGPLU,PGPIETRALU,Perugia,La Vetta,600,43°27'10"N,12°24'0"E,Dante La Terza,NULL
PGPNC,PGPANICARO,Perugia,Avios. Panicarola,800,43°3'29"N,12°6'2"E,Giua,NULL
PGPNT,PGPANTALLA,Perugia,Avios. Walter Rattichieri,540,42°52'15"N,12°23'7"E,Giuseppe Moriconi,NULL
PGSMR,PGSMARIARO,Perugia,Campo di Volo S.Maria Rossa,400,43°1'21"N,12°23'18"E,Ettore Paribocci,NULL
PGSTR,PGSTERENZI,Perugia,Avios. dei Monti Martani,600,42°51'50"N,12°28'46"E,Antonio Rossi,NULL
PGTRE,PGDELFINA,Perugia,Delfina,800,42°50'32"N,12°44'3"E,Pino Cirimele,NULL
PGUMB,PGUMBERTID,Perugia,Ass. Volo Pierantonio,240,43°15'52"N,12°23'10"E,Carlo Fattorini,NULL
TRNAR,TRNARNI,Terni,Giorgio e Filippo Calledro,630,42°27'53"N,12°25'46"E,Massimo Tardella,NULL
TROTR,TROTRICOLI,Terni,Amici del Volo,600,42°25'39"N,12°27'29"E,NULL
TRPNA,TRPALAZZON,Terni,Terni Fly Club,340,42°32'6"N,12°33'15"E,Paolo Aldini - Adriano Lollucci,NULL
TRSVS,TRCVISCARD,Terni,Avios. Alfina,800,42°44'19"N,11°59'0"E,Pietro Filippini,NULL
