AIRWAY,DESIGNATOR,SEQUENCE,LAT,LON,MAX ALTITUDE,MIN ALTITUDE,WIDTH
KY139,TORINO VOR/DME 'TOP',1,44°55'31''N,007°51'42''E,5000ft AMSL,4000ft AMSL,2 NM
KY139,ROKUD,2,44°58'23''N,008°15'39''E,5000ft AMSL,4000ft AMSL,2 NM
KY139,DIVIP,3,45°05'01''N,009°14'03''E,5000ft AMSL,4000ft AMSL,2 NM
KY139,UVNIB,4,45°13'35''N,009°32'28''E,5000ft AMSL,4000ft AMSL,2 NM
KY139,PEXET,5,45°18'58''N,010°00'00''E,5000ft AMSL,4000ft AMSL,2 NM
KY139,RUVUK,6,44°55'25''N,010°30'46''E,5000ft AMSL,4000ft AMSL,2 NM
KY139,IBTOK,7,44°54'43''N,010°38'59''E,5000ft AMSL,4000ft AMSL,2 NM
KY139,IPDAB,8,44°57'41''N,010°50'57''E,5000ft AMSL,4000ft AMSL,2 NM
KY139,NISIL,9,44°59'04''N,011°12'01''E,5000ft AMSL,4000ft AMSL,2 NM
KY139,ABROX,10,45°01'42''N,011°43'57''E,5000ft AMSL,4000ft AMSL,2 NM
KY139,CHIOGGIA VOR/DME 'CHI',11,45°04'16''N,012°16'53''E,5000ft AMSL,4000ft AMSL,2 NM

L5,ALGHRO VORTAC 'ALG',1,40°37'41''N,008°14'38''E,FL195,FL95,5 NM
L5,MINKA,2,40°49'09''N,008°51'20''E,FL195,FL95,5 NM
L5,POZZO,3,40°56'45''N,009°15'59''E,FL195,FL95,5 NM
L5,ROMPO,4,41°05'56''N,009°46'15''E,FL195,FL95,5 NM
L5,RUXOP,5,41°10'09''N,010°00'34''E,FL195,FL95,5 NM
L5,BATOX,6,41°12'46''N,010°09'23''E,FL195,FL95,5 NM
L5,TINTO,7,41°28'41''N,011°04'04''E,FL195,FL95,5 NM
L5,VALMA,8,41°34'38''N,011°25'17''E,FL195,FL95,5 NM
L5,LUNAK,9,41°42'12''N,011°52'14''E,FL195,FL95,5 NM
L5,OSTIA VOR/DME 'OST',10,41°48'14''N,012°14'15''E,FL195,FL95,5 NM
L5,OKUNO,11,42°06'26''N,012°58'21''E,FL195,FL95,5 NM
L5,TINIX,12,42°09'57''N,013°07'22''E,FL195,FL135,5 NM
L5,ATRUP,13,42°20'56''N,013°35'44''E,FL195,FL135,5 NM
L5,IDLOL,14,42°30'10''N,013°55'41''E,FL195,FL105,5 NM
L5,NAVAG,15,42°34'49''N,014°05'48''E,FL195,FL95,5 NM
L5,SUTOB,16,42°45'59''N,014°30'22''E,FL195,FL95,5 NM
L5,VAPUP,17,43°03'21''N,015°12'20''E,FL195,FL95,5 NM

L12,UNIMI,1,46°51'39''N,011°03'55''E,FL195,FL155,5 NM
L12,NAXAV,2,46°27'50''N,011°19'20''E,FL195,FL125,5 NM
L12,ALESE,3,46°16'30''N,011°24'14''E,FL195,FL125,5 NM
L12,VICENZA VOR/DME 'VIC''35''E,4,45°38'14''N,011°40'35''E,FL195,5500ft AMSL,5 NM
L12,KOPER,5,45°09'14''N,011°38'29''E,FL195,5500ft AMSL,5 NM
L12,LUMAV,6,44°48'52''N,011°36'59''E,FL195,FL95,5 NM
L12,ADBAL,7,44°36'08''N,011°26'59''E,FL195,FL95,5 NM
L12,LUTOR,8,44°29'17''N,011°21'39''E,FL195,FL95,5 NM
L12,TIPNI,9,44°18'18''N,011°13'05''E,FL195,FL95,5 NM
L12,DOBOG,10,44°08'40''N,011°05'37''E,FL195,FL105,5 NM
L12,LOMED,11,44°01'38''N,011°00'12''E,FL195,FL95,5 NM
L12,OSMOX,12,43°50'14''N,010°54'47''E,FL195,FL95,5 NM
L12,GINAR,13,43°37'57''N,010°48'58''E,FL195,FL105,5 NM
L12,AKUTO,14,43°27'50''N,010°44'09''E,FL195,FL105,5 NM
L12,MAREL,15,43°16'55''N,010°39'05''E,FL195,FL105,5 NM
L12,ELBA VORTAC 'ELB',16,42°43'50''N,010°23'45''E,FL195,FL95,5 NM
L12,VELAD,17,42°03'06''N,010°45'49''E,FL195,FL95,5 NM
