ICAO,Type,Size,Name,Latitude,Longitude,Elevation(ft),Region,Municipality,IATA
LIRF,airport,large,Rome–Fiumicino Leonardo da Vinci International Airport,41.804532,12.251998,13,Lazio,Rome,FCO
LIMC,airport,large,Milan Malpensa International Airport,45.6306,8.72811,768,Lombardy,Ferno (VA),MXP
LIPZ,airport,large,Venice Marco Polo Airport,45.505299,12.3519,7,Veneto,Venezia (VE),VCE
LIML,airport,medium,Milano Linate Airport,45.445099,9.27674,353,Lombardy,Segrate (MI),LIN
LIME,airport,large,Milan Bergamo Airport / Antonio Locatelli Air Base,45.670725,9.709223,782,Lombardy,Orio al Serio (BG),BGY
LIRA,airport,medium,Ciampino–G. B. Pastine International Airport,41.7994,12.5949,427,Lazio,Rome,CIA
LIPE,airport,large,Bologna Guglielmo Marconi Airport,44.5354,11.2887,123,Emilia-Romagna,Bologna,BLQ
LIRN,airport,large,Naples International Airport,40.886002,14.2908,294,Campania,Napoli,NAP
LIRP,airport,large,Pisa International Airport,43.683899,10.3927,6,Tuscany,Pisa,PSA
LICC,airport,large,Catania-Fontanarossa Airport,37.466801,15.0664,39,Sicily,Catania,CTA
LIRQ,airport,medium,Peretola Airport,43.810001,11.2051,142,Tuscany,Firenze,FLR
LIMF,airport,large,Turin Airport,45.200802,7.64963,989,Piedmont,Caselle Torinese (TO),TRN
LICJ,airport,large,Falcone–Borsellino Airport,38.175999,13.091,65,Sicily,Palermo,PMO
LIPH,airport,medium,Treviso Antonio Canova Airport,45.648399,12.1944,59,Veneto,Treviso (TV),TSF
LIPX,airport,large,Verona Villafranca Valerio Catullo Airport,45.394955,10.887303,239,Veneto,Caselle (VR),VRN
LIEE,airport,large,Cagliari Elmas Airport,39.251499,9.05428,13,Sardinia,Cagliari,CAG
LIBD,airport,large,Bari Karol Wojtyła Airport,41.138901,16.760599,193,Apulia,Bari,BRI
LIEO,airport,medium,Olbia Costa Smeralda Airport,40.898701,9.51763,37,Sardinia,Olbia (SS),OLB
LIMJ,airport,medium,Genoa Cristoforo Colombo Airport,44.412039,8.840732,13,Liguria,Genova (GE),GOA
LIPQ,airport,medium,Trieste–Friuli Venezia Giulia Airport,45.827499,13.4722,39,Friuli-Venezia Giulia,Ronchi dei Legionari (GO),TRS
LIEA,airport,medium,Alghero-Fertilia Airport,40.632099,8.29077,87,Sardinia,Alghero,AHO
LIPV,airport,small,Venice-Lido Giovanni Nicelli Airfield,45.428299,12.3881,15,Veneto,Venezia (VE),
LIPY,airport,medium,Marche Airport,43.616299,13.3623,49,Marche,Ancona,AOI
LIBR,airport,large,Brindisi Airport,40.6576,17.947001,47,Apulia,Brindisi,BDS
LICT,airport,medium,Vincenzo Florio Airport Trapani-Birgi,37.9114,12.488,25,Sicily,Trapani (TP),TPS
LIPR,airport,medium,Federico Fellini International Airport,44.020302,12.6117,40,Emilia-Romagna,Rimini,RMI
LICA,airport,medium,Lamezia Terme Airport,38.905399,16.2423,39,Calabria,Lamezia Terme (CZ),SUF
LICZ,airport,medium,Sigonella Navy Air Base,37.401699,14.9224,79,Sicily,Sigonella (CT),NSY
LIPB,airport,medium,Bolzano Airport,46.460201,11.3264,789,Trentino-Alto Adige,Bolzano (BZ),BZO
LIPK,airport,medium,Forlì Airport,44.194801,12.0701,97,Emilia-Romagna,Forlì (FC),FRL
LIRJ,airport,medium,Marina Di Campo Airport,42.7603,10.2394,31,Tuscany,Marina  Di Campo,EBA
LIMP,airport,medium,Parma Airport,44.826351,10.29705,161,Emilia-Romagna,Parma (PR),PMF
LIBP,airport,medium,Abruzzo Airport,42.431702,14.1811,48,Abruzzi,Pescara,PSR
LIMG,airport,medium,Riviera Villanova d'Albenga International Airport,44.050598,8.12743,148,Liguria,Villanova d'Albenga (SV),ALL
LIMA,airport,medium,Torino-Aeritalia Airport,45.086399,7.60337,943,Piedmont,Torino (TO),
LIMZ,airport,medium,Cuneo International Airport,44.547001,7.62322,1267,Piedmont,Levaldigi (CN),CUF
LIPO,airport,medium,Brescia Gabriele d'Annunzio Airport,45.428902,10.3306,355,Lombardy,Montichiari (BS),VBS
LIRU,airport,medium,Rome Urbe Airport,41.952096,12.502231,55,Lazio,Rome,
LIDT,airport,medium,Trento-Mattarello Airport,46.0214,11.1242,610,Trentino-Alto Adige,Trento (TN),
LICR,airport,medium,Reggio Calabria Airport,38.071201,15.6516,96,Calabria,Reggio Calabria,REG
LIMW,airport,medium,Aosta Corrado Gex Airport,45.738552,7.3683,1791,Valle d'Aosta,Saint-Christophe (AO),AOT
LICB,airport,medium,Comiso Airport,36.994601,14.607182,623,Sicily,Comiso,CIY
LIMB,airport,small,Milano-Bresso Airfield,45.539182,9.202452,484,Lombardy,Bresso (MI),
LIPU,airport,medium,Padova Gino Allegri Airfield,45.395316,11.847124,44,Veneto,Padova (PD),
LIQS,airport,medium,Siena-Ampugnano Airport,43.256302,11.255,634,Tuscany,Siena,SAY
LIRZ,airport,medium,Perugia San Francesco d'Assisi – Umbria International Airport,43.095901,12.5132,697,Umbria,Perugia,PEG
LILH,airport,small,Voghera-Rivanazzano Airfield,44.952,9.01653,423,Lombardy,Voghera (PV),
LIPA,airport,medium,Aviano Air Base,46.031898,12.596503,410,Friuli-Venezia Giulia,Aviano (PN),AVB
LILE,airport,medium,Biella-Cerrione Airport,45.4953,8.10278,920,Piedmont,Cerrione (BI),
LIDA,airport,small,Asiago Romeo Sartori Airfield,45.886155,11.515861,3409,Veneto,Asiago (VI),
LILO,airport,small,Caiolo Sondrio Airfield,46.154448,9.79507,899,Lombardy,Caiolo (SO),
LIDU,airport,small,Carpi-Budrione Airfield,44.833231,10.871186,69,Emilia-Romagna,Carpi (MO),
LILR,airport,small,Cremona-Migliaro Airfield,45.168261,10.001864,161,Lombardy,Cremona (CR),
LIDG,airport,small,Lugo Di Romagna Airfield,44.398201,11.8548,62,Emilia-Romagna,Lugo,
LIDE,airport,small,Reggio Emilia Airport,44.698299,10.6628,152,Emilia-Romagna,Reggio Emilia,
LIED,airport,medium,Decimomannu Air Base,39.354198,8.97248,100,Sardinia,Decimomannu,DCI
LIRS,airport,medium,Grosseto Air Base,42.759701,11.0719,17,Tuscany,Grosetto,GRS
LILM,airport,small,Casale Monferrato Airfield,45.110039,8.456898,377,Piedmont,Casale Monferrato (AL),
LIPN,airport,small,Verona-Boscomantico Airfield,45.472,10.9279,286,Veneto,Verona,
LIET,airport,medium,Tortolì Airport,39.9188,9.68298,23,Sardinia,Arbatax,TTB
LIBC,airport,medium,Crotone Airport,38.9972,17.0802,522,Calabria,Crotone,CRV
LILN,airport,medium,Varese-Venegono Airport,45.742199,8.888233,1100,Lombardy,Venegono Superiore (VA),
LILA,airport,small,Alessandria Airfield,44.925635,8.626728,299,Piedmont,Alessandria (AL),
LIDB,airport,small,Belluno Arturo dell'Oro Airport,46.166549,12.250389,1240,Veneto,Belluno (BL),BLX
LIKE,airport,small,Litorale di Caorle Airfield,45.611944,12.814722,1,Veneto,Caorle (VE),
LIDF,airport,small,Fano Airfield,43.824032,13.02588,54,Marche,Fano (PS),
LIQL,airport,small,Lucca-Tassignano Airport,43.825825,10.577928,39,Tuscany,Lucca,LCV
LILQ,airport,small,Massa Cinquale Airfield,43.98598,10.143785,13,Tuscany,Massa (MS),
,airport,small,Aviosuperficie Il Falco,45.268665,7.947943,768,Piedmont,Mazzè (TO),
LIPM,airport,small,Modena-Marzaglia Airfield,44.631389,10.808611,184,Emilia-Romagna,Modena,
LICD,airport,medium,Lampedusa Airport,35.497898,12.6181,70,Sicily,Lampedusa,LMP
LICG,airport,medium,Pantelleria Airport,36.816502,11.9689,628,Sicily,Pantelleria (TP),PNL
LIDR,airport,small,Ravenna Airport,44.36391,12.224978,1,Emilia-Romagna,Ravenna,RAN
LIQB,airport,small,Arezzo Airfield,43.455897,11.847,814,Tuscany,Arezzo,
LIPD,airport,small,Udine-Campoformido Air Base,46.0308,13.18225,305,Friuli-Venezia Giulia,Campoformido (UD),UDN
LILV,airport,small,Valbrembo Airfield,45.719864,9.593954,745,Lombardy,Carvico (BG),
LIPF,airport,small,Ferrara Airfield,44.816002,11.6134,20,Emilia-Romagna,Ferrara,
LIPG,airport,small,Gorizia Duca d'Aosta Airport,45.906898,13.5993,207,Friuli-Venezia Giulia,Gorizia (GO),
,airport,small,Ivrea Montalto Dora Airfield,45.487546,7.84323,807,Piedmont,Montalto Dora (TO),
LIER,airport,small,Oristano-Fenosu Airport,39.895308,8.642661,36,Sardinia,Oristano,FNU
LIKO,airport,small,Guglielmo Zamboni,44.475,11.541664,98,Emilia-Romagna,Ozzano Emilia (BO),
LIQN,airport,small,Rieti Airfield,42.4272,12.8517,1278,Lazio,Rieti,
LIQF,airport,small,Aviosuperficie Palazzolo Avio,43.55916,12.155903,1050,Tuscany,San Sepolcro (AR),
LIVV,airport,small,Aviosuperficie Moncucco,45.344613,7.919072,781,Piedmont,Vische (TO),
LIBF,airport,medium,"Foggia ""Gino Lisa"" Airport",41.432899,15.535,265,Apulia,Foggia,FOG
LIRI,airport,medium,Salerno Costa d'Amalfi Airport,40.620399,14.9113,119,Campania,Salerno,QSR
LIPI,airport,medium,Udine-Rivolto Air Base,45.978699,13.0493,179,Friuli-Venezia Giulia,Codroipo (UD),
LIBV,airport,medium,Gioia Del Colle Air Base,40.767799,16.9333,1187,Apulia,Gioia Del Colle (BA),
LIPS,airport,medium,Istrana Air Base,45.684358,12.087107,137,Veneto,Istrana (TV),
LILI,airport,medium,Vercelli Airfield,45.309935,8.417931,417,Piedmont,Vercelli (VC),
,airport,small,"Campo di Volo ""Le Merline""",44.97287,9.479142,300,Emilia-Romagna,Agazzano (PC),
,airport,small,Aviosuperficie Pegasus 2000,45.30993,7.665453,1312,Piedmont,Busano (TO),
,airport,small,Campo di Volo Carolina,45.253154,7.898977,708,Piedmont,Caluso (TO),
,airport,small,Carzago Riviera Airfield,45.516789,10.464759,639,Lombardy,Calvagese della Riviera (BS),
LIAU,airport,small,Capua Airport,41.116001,14.178,64,Campania,Capua,
,airport,small,Astigiana,44.888806,8.354867,469,Piedmont,Castello D'Annone (AT),
LILF,airport,small,Castelnuovo Don Bosco Airfield,45.024444,7.966389,730,Piedmont,Castelnuovo Don Bosco (AT),
,airport,small,"Aviosuperficie ""Delta Club Napoli""",41.065278,13.9625,,Campania,Castelvolturno,
,airport,small,Aviosuperficie Celano,42.05167,13.55722,2234,Abruzzi,Celano (AQ),
,airport,small,Santa Lucia Airfield,45.483966,9.953184,357,Lombardy,Cizzago (BS),
,airport,small,Valle Gaffaro Airfield,44.834414,12.231261,1,Emilia-Romagna,Codigoro (FE),
,airport,small,Aviosuperficie Dovera,45.380525,9.534974,259,Lombardy,Dovera (CR),
,airport,small,Aviosuperficie Massalengo,45.275425,9.482934,239,Lombardy,Massalengo (LO),
,airport,small,"Campo di Volo ""Delta Condor""",43.869653,10.301777,1,Tuscany,Massarosa (LU),
,airport,small,Aviosuperficie Giancarlo Filippi,44.409934,7.809992,1411,Piedmont,Mondovì (CN),
,airport,small,Cesare Rossi Airfield,43.102879,13.557816,492,Marche,Montegiorgio (AP),
,airport,small,Blue Devil Centre Airfield,45.392393,10.127678,223,Lombardy,Offlaga (BS),
LIDP,airport,small,Pavullo Airfield,44.322399,10.8317,2244,Emilia-Romagna,Pavullo (MO),
LIKL,airport,small,La Comina Airfield,45.991852,12.65399,200,Friuli-Venezia Giulia,Pordenone (PN),
,airport,small,Aviosuperficie Eremo della Giubiliana,36.861287,14.627008,1401,Sicily,Ragusa,
,airport,small,Madonna di Loreto Airfield,43.43913,13.57054,47,Marche,Recanati,
LIAA,airport,small,"Aviosuperficie ""Alvaro Leonardi""",42.573333,12.584444,374,Umbria,Terni,
LIDH,airport,small,Thiene Arturo Ferrarin Airfield,45.67783,11.496306,335,Veneto,Thiene (VI),
LILC,airport,small,Calcinate del Pesce Airfield,45.8097,8.76806,797,Lombardy,Varese (VA),
LILG,airport,small,Vergiate Airfield,45.712633,8.700714,863,Lombardy,Vergiate (VA),
LILB,airport,small,Alzate Brianza Airfield,45.769644,9.162333,1260,Lombardy,Verzago (CO),
,airport,small,Aviosuperficie Leonardo da Vinci.,45.288333,8.8,358,Lombardy,Vigevano (PV),
LIBN,airport,medium,Lecce Galatina Air Base,40.239201,18.133301,156,Apulia,Galatina,LCC
LIMN,airport,medium,Cameri Air Base [MIL],45.529598,8.66922,586,Piedmont,Cameri (NO),
