Name,Altitude,Latitude,Longitude,Manager,BaseSize,Pavement,Shape
ARIANNA PROCIV,60.0 m,N 41° 3' 53",E 14° 19' 40",DE LUCIA Domenico,15.3 m,Calcestruzzo,Circolare
BENEVENTO SAN PIO,204.0 m,N 41° 7' 17",E 14° 47' 58",Pucillo Giacomo,32 m,Bitume,Circolare
Bisaccia,882.0 m,N 41° 0' 28",E 15° 21' 25",MALLIA Salvatore,26 m,Calcestruzzo,Circolare
CAMPOLONGO HOSPITAL spa,3.0 m,N 40° 31' 23",E 14° 55' 15",CAMISA Gianfranco,25 m,Erbosa,Circolare
Com.te Felice Faivano,50.0 m,N 40° 22' 11",E 15° 2' 44",Citro Daniele,22.5 m,Calcestruzzo,Circolare
EAGLE,138 m,N 40° 51' 41",E 14° 28' 47",ALESSANDRO ARDOLINO,25 m,Calcestruzzo,Circolare
ISOLA DI PROCIDA,93.0 m,N 40° 45' 0",E 14° 0' 49",MEGLIO Antonio,21 m,Calcestruzzo,Circolare
OSPEDALE CARDARELLI,213.0 m,N 40° 52' 3",E 14° 13' 32",CONTE Vincenzo,36.00 m,Calcestruzzo,Circolare
Ospedale del Mare,57.0 m,N 40° 51' 12",E 14° 20' 41",SABATINO Alfonso,57.0 m,Calcestruzzo,Circolare
Pineta Grande,0.0 m,N 41° 1' 2",E 13° 57' 7",BARATTO Diego,26.52 m,Bitume,Quadrata
S.A.M. Domenico Siano,90.0 m,N 40° 37' 6",E 14° 55' 11",ARDOLINO Alessandro,25.00 m,Calcestruzzo,Circolare
Vulcanair,90.0 m,N 40° 53' 21",E 14° 18' 12",ARDOLINO Alessandro,25.00 m,Calcestruzzo,Quadrata
