Name,Altitude,Latitude,Longitude,Manager,BaseSize,Pavement,Shape
AERO CLUB DI CREMONA,49.0 m,N 45° 10' 1",E 10° 0' 24",SOZZI Antonello,20 m,Calcestruzzo,Circolare
AIR SERVICE CENTER,92.0 m,N 45° 4' 5",E 9° 22' 29",ACUTO Maggiorino,26.00 m,Erbosa,Circolare
B M A,102.0 m,N 45° 25' 40",E 10° 20' 11",BOSIO Pietro,20 m,Erbosa,Quadrata
BASE HEMS BERGAMO,231.0 m,N 45° 41' 16",E 9° 38' 4",RICCARDO Orlando,26.00 m,Calcestruzzo,Quadrata
BELLAGIO,304.0 m,N 45° 58' 14",E 9° 14' 58",BARINDELLI Angelo,26.00 m,Calcestruzzo,Circolare
BOLLATE FIERA EXPO,155.0 m,N 45° 32' 32",E 9° 5' 23",Mirko MASIN,20 m,Bitume,Quadrata
CAIOLO,275.0 m,N 46° 9' 14",E 9° 47' 29",GRITTI Gionni,26 m,Calcestruzzo,Quadrata
Casa della Sanità,1851.0 m,N 46° 31' 3",E 10° 7' 31",GALLI Remo,26.00 m,Bitume,Circolare
Cascina Costa,223 m,N 45° 37' 57.25",E 8° 44' 26.62",Daniele Mantovani,40 m,Bitume,Rettangolare
Cascina Vaiana,154.0 m,N 45° 29' 47",E 8° 54' 52",Cesare Mazzetti,25.00 m,Erbosa,Circolare
CENTRO PROTEZIONE CIVILE DI MESE,305.0 m,N 46° 18' 45",E 9° 23' 15",TRUSSONI Davide,28 m,Calcestruzzo,Circolare
CIVENNA,621.0 m,N 45° 56' 19",E 9° 16' 24",BARINDELLI Angelo,26.00 m,Calcestruzzo,Circolare
COLICO LARIO HS,221.0 m,N 46° 8' 18",E 9° 24' 18",RICCARDO Orlando,26.2 m,Calcestruzzo,Quadrata
Como Ovest,378.0 m,N 45° 46' 46",E 8° 57' 48",ZERBI Gabriele,19.56 m,Calcestruzzo,Circolare
CPE Erba,267.0 m,N 45° 48' 11",E 9° 14' 49",Giglio Giovanni Marco,28 m,Calcestruzzo,Circolare
CLA 1,186 m,N 45° 37' 28.48",E 9° 18' 29.09",Silvia Daloiso,21 m,Autobloccanti,Circolare
Como - CR,320 m,N 45° 44' 55",E 9° 2' 6",Alessandro Bonanomi,24 m,Stabilizzato,Quadrata
Darfo Elimast,228.0 m,N 45° 52' 37",E 10° 10' 23",COMENSOLI Maffeo,19 m,Calcestruzzo,Quadrata
Diga Del Truzzo,2010.0 m,N 46° 21' 32.0",E 9° 19' 11.3",DOTTI Luca,27 m,Metallo,Quadrata
ELI FLY H1,234.0 m,N 45° 54' 22",E 10° 13' 27",COMENSOLI Francesco,33 m,Calcestruzzo,Quadrata
ELI FLY H2,236.0 m,N 45° 54' 21",E 10° 13' 31",COMENSOLI Francesco,20 m,Calcestruzzo,Rettangolare
Elisuperficie di Via Massena,67.0 m,N 45° 18' 52",E 9° 30' 56",Melissia Rachelini,26.70 m,Calcestruzzo,Quadrata
Elisuperficie LENNA,485 m,N 45° 56' 33",E 9° 41' 9",JONATHAN LOBATI,27.00 m,Calcestruzzo,Quadrata
ELITELLINA,229.0 m,N 46° 16' 23",E 9° 22' 47",CARRARO Enrico,24.50 m,Calcestruzzo,Circolare
ELITELLINA,292.0 m,N 46° 9' 47",E 9° 53' 35",CARRARO Enrico,33 m,Calcestruzzo,Quadrata
ELIWORK,270.0 m,N 46° 8' 58",E 9° 38' 3",PETRELLI G.Piero,30.00 m,Erbosa,Circolare
FIERA DI MILANO,149.0 m,N 45° 28' 50",E 9° 9' 27",PAGGIARO Daniele,25 m,Calcestruzzo,Rettangolare
FLYTECH,276.0 m,N 46° 9' 31",E 9° 48' 38",GRAZIOLI Roberto,26 m,Calcestruzzo,Circolare
Fondazione Poliambulanza Istituto Ospedaliero Brescia,123.0 m,N 45° 31' 17",E 10° 14' 14",DIONI Stefano,26 m,Calcestruzzo,Circolare
GEWISS,266 m,N 45° 41' 24.11",E 9° 49' 10.27",CERVINI Paolo,20.82 m,Calcestruzzo,Circolare
GIACOMO CATTANEO,850.0 m,N 45° 58' 14",E 9° 1' 37",GRANDI Marcello,27.00 m,Calcestruzzo,Circolare
HANGAR 33,200 m,N 45° 31' 04.90",E 10° 28' 02.20",Stefano Sorlini,16 m,Erbosa,Circolare
ISTITUTO CLINICO HUMANITAS,102.0 m,N 45° 22' 24.5840421186",E 9° 9' 47.2973786988",Claudio Speranza,26 m,Calcestruzzo,Circolare
ISTITUTO CLINICO HUMANITAS,102.0 m,N 45° 22' 29",E 9° 9' 52",SILVESTRI Norberto,50 m,Sabbia,Rettangolare
Luino,204.0 m,N 45° 59' 11",E 8° 44' 53",ALONZI Fabio,26 m,Calcestruzzo,Circolare
MADESIMO VALLE SPLUGA,1604.0 m,N 46° 26' 35.6",E 9° 21' 49.9",SCARAMELLINI Pierluigi,20 m,Calcestruzzo,Circolare
MASCIONI USSL 2,240.0 m,N 45° 53' 42",E 8° 39' 57",ALONZI Fabio,26 m,Calcestruzzo,Circolare
Menaggio,359.0 m,N 46° 1' 8",E 9° 13' 41",VALLI Emiliano,25.50 m,Calcestruzzo,Circolare
MILANO BICOCCA,187.0 m,N 45° 31' 6",E 9° 12' 43",PISAPIA FIORE Ernesto,26 m,Metallo,Circolare
MPOL,44 m,N 45° 30' 3",E 9° 8' 13.46",Massa Flavio,24 m,Metallo,Circolare
OSPEDALE CADUTI BOLLATESI,150.0 m,N 45° 32' 22",E 9° 7' 2",CANGIALOSI Calogero,26 m,Calcestruzzo,Circolare
OSPEDALE CARLO BORELLA,259.0 m,N 45° 41' 26",E 9° 12' 31",SPATA Giuseppe,30 m,Calcestruzzo,Quadrata
OSPEDALE CARLO POMA,20.0 m,N 45° 8' 44",E 10° 46' 29",PEDONE Francesco,26 m,Calcestruzzo,Quadrata
Ospedale di Esine,262.0 m,N 45° 55' 39",E 10° 14' 56",ZA Francesco Salvatore,28 m,Calcestruzzo,Circolare
OSPEDALE DI LECCO,279.0 m,N 45° 51' 11",E 9° 24' 53",FAVINI Paolo,26.5 m,Calcestruzzo,Circolare
OSPEDALE DI SONDALO,1089.0 m,N 46° 19' 60",E 10° 19' 53",LUCA Gabriele,27.00 m,Calcestruzzo,Circolare
OSPEDALE DI TREVIGLIO,120.0 m,N 45° 30' 40",E 9° 36' 43",ZA Francesco Salvatore,26.00 m,Calcestruzzo,Quadrata
OSPEDALE DI VARESE,450.0 m,N 45° 48' 28",E 8° 50' 25",ALONZI Fabio,26 m,Calcestruzzo,Quadrata
Ospedale Generale di Zona Moriggia Pelascini,201.0 m,N 46° 8' 27",E 9° 18' 6",ZUCCHI Ampelio,24.5 m,Calcestruzzo,Circolare
OSPEDALE NIGUARDA CA' GRANDA,420.0 m,N 45° 30' 35.0",E 9° 11' 33.0",BADI Carlo Maria,26 m,Calcestruzzo,Circolare
OSPEDALE OGLIO PO,45.0 m,N 45° 58' 25",E 10° 28' 2",ROSSI Giuseppe,23.3 m,Calcestruzzo,Quadrata
OSPEDALE POLICLINICO SAN DONATO,103.0 m,N 45° 24' 31",E 9° 16' 41",GALLI Francesco,27 m,Calcestruzzo,Circolare
Ospedale Policlinico San Marco,172.0 m,N 45° 36' 18",E 9° 35' 23",GALLI Francesco,24.5 m,Calcestruzzo,Circolare
OSPEDALE SAN GERARDO,180.0 m,N 45° 36' 11",E 9° 15' 26",ZUGARELLI Luciano,32 m,Calcestruzzo,Quadrata
OSPEDALE SAN RAFFAELE,121.0 m,N 45° 30' 19",E 9° 15' 39",DE MATTEO Giuseppe,27 m,Calcestruzzo,Circolare
OSPEDALE SONDRIO,318.0 m,N 46° 10' 18",E 9° 52' 48",LUCA Gabriele,26.00 m,Metallo,Cicolare
PIAN DEL TIVANO,960.0 m,N 45° 53' 48",E 9° 12' 28",SORBINI Giuseppe,26 m,Calcestruzzo,Cicolare
PIGHET,152.0 m,N 45° 44' 23",E 9° 41' 55",USVARDI Andrea,25 m,Bitume,Circolare
PRESIDIO OSPEDALIERO DI CREMONA,45.0 m,N 45° 7' 42",E 10° 3' 18",ROSSI Giuseppe,20.00 m,Calcestruzzo,Circolare
S. Anna Como,344.0 m,N 45° 47' 33",E 9° 2' 46",PEDONE Francesco,26 m,Metallo,Cicolare
S. Matteo,85.0 m,N 45° 12' 10",E 9° 8' 51",Andrea Bocchieri,25 m,Calcestruzzo,Circolare
SAN CARLO,124.0 m,N 45° 28' 2",E 9° 6' 54",MIARELLI Alessandro,26 m,Calcestruzzo,Quadrata
SPEDALI CIVILI,165.0 m,N 45° 33' 32",E 10° 13' 50",ORLANDO Riccardo,26.00 m,Calcestruzzo,Circolare
Temù Elimast,1190.0 m,N 46° 15' 4",E 10° 29' 16",COMENSOLI Maffeo,22.5 m,Calcestruzzo,Circolare
TIRANO,490.0 m,N 46° 13' 8",E 10° 10' 55",GRITTI Gionni,27 m,Bitume,Circolare
Villa San Martino,191.0 m,N 45° 37' 40",E 9° 18' 58",FACCHETTI Luciano,20 m,Calcestruzzo,Quadrata
Vilminore,1008.0 m,N 45° 59' 40",E 10° 5' 38",ORRU' Pietro,21.40 m,Calcestruzzo,Circolare
