Name,Altitude,Latitude,Longitude,Manager,BaseSize,Pavement,Shape
Albeigo Gentili,468.0 m,N 43° 4' 47",E 13° 16' 52",LOMBI Fabio,35 m,Bitume,Quadrata
AMANDOLA,450.0 m,N 42° 58' 29",E 13° 21' 45",ORLANDO Riccardo,28 m,Bitume,Quadrata,
ASCOLI PICENO,167.0 m,N 42° 51' 36",E 13° 35' 7",ORLANDO Riccardo,27 m,Bitume,Circolare
BELFORTE DEL CHIENTI,253 m,N 43° 10' 43",E 13° 15' 9",ORLANDO Riccardo,30.00 m,Bitume,Quadrata
BRANCADORO,15.0 m,N 43° 15' 49",E 13° 40' 40",ANGIOLI Paolo,25 m,Calcestruzzo,Quadrata
Butterfly Uno,101.0 m,N 43° 16' 8",E 13° 28' 12",SERINI Paolo,20 m,Bitume,Rettangolare
C.R.I. FOSSOMBRONE,118.0 m,N 43° 41' 1",E 12° 48' 5",ORLANDO Riccardo,21 m,Calcestruzzo,Quadrata
CAGLI,240.0 m,N 43° 33' 8",E 12° 39' 6",ORLANDO Riccardo,27.00 m,Bitume,Circolare
CAMERINO,547.0 m,N 43° 7' 59",E 13° 2' 59",ORLANDO Riccardo,27.00 m,Calcestruzzo,Quadrata
CAMERINO PONTE LA TRAVE,417.0 m,N 43° 4' 45",E 13° 4' 36",ORLANDO Riccardo,27.00 m,Bitume,Circolare
Castelraimondo,304.0 m,N 43° 12' 0",E 13° 3' 16",RICCARDO Orlando,27.00 m,Bitume,Circolare
CINGOLI,554.0 m,N 43° 22' 59",E 13° 11' 56",ORLANDO Riccardo,27.2 m,Calcestruzzo,Quadrata
CIVITANOVA 1,3.0 m,N 43° 17' 48",E 13° 43' 56",GIUSTOZZI Luca,30 m,Calcestruzzo,Circolare
CIVITANOVA MARCHE,76.0 m,N 43° 18' 49",E 13° 41' 59",ORLANDO Riccardo,28.00 m,Calcestruzzo,Quadrata
CORRIDONIA,109.0 m,N 43° 15' 38",E 13° 29' 5",ORLANDO Riccardo,26 m,Calcestruzzo,Circolare
FABRIANO HEMS,403.0 m,N 43° 20' 22",E 19° 49' 42",ORLANDO Riccardo,20 m,Calcestruzzo,Circolare
FABRIANO OSPEDALE,319.0 m,N 43° 20' 29",E 12° 54' 20",ORLANDO Riccardo,26 m,Bitume,Circolare
FIASTRA,699 m,N 43° 2' 2",E 13° 10' 10",ORLANDO Riccardo,27.00 m,Calcestruzzo,Circolare
Fiuminata,450 m,N 43° 11' 1",E 12° 56' 19",ORLANDO Riccardo,27.00 m,Calcestruzzo,Circolare
MACERATA ELISUPERFICIE,250.0 m,N 43° 17' 59",E 13° 27' 59",ORLANDO Riccardo,30.00 m,Bitume,Circolare
MERCATELLO SUL METAURO,429.0 m,N 43° 39' 5",E 12° 19' 59",ORLANDO Riccardo,27 m,Calcestruzzo,Quadrata
MERLONI - FABRIANO,310.0 m,N 43° 20' 48",E 12° 54' 32",BARBANTI Marco,30.00 m,Calcestruzzo,Circolare
Merloni Melano,391.0 m,N 43° 20' 49",E 12° 51' 31",ORLANDO Riccardo,30.00 m,Calcestruzzo,Quadrata
MONTEGRANARO,91.0 m,N 43° 15' 25",E 13° 38' 42",TROIANO PIETRO,25 m,Calcestruzzo,Quadrata
MONTEGRIMANO,475.0 m,N 43° 53' 8",E 12° 29' 11",ORLANDO Riccardo,27.00 m,Bitume,Circolare
OSPEDALE DI FERMO,251.0 m,N 43° 9' 45",E 13° 42' 20",ORLANDO Riccardo,20 m,Calcestruzzo,Quadrata
OSPEDALE LE TORRETTE,44.0 m,N 43° 36' 5",E 13° 27' 5",RICCARDO Orlando,25.00 m,Calcestruzzo,Circolare
PERGOLA OSPEDALE,266.0 m,N 43° 34' 1",E 12° 49' 59",ORLANDO Riccardo,41.00 m,Calcestruzzo,Circolare
PESARO URBINO,16.0 m,N 43° 54' 5",E 12° 52' 19",ORLANDO Riccardo,40 m,Calcestruzzo,Quadrata
San Ginesio,468.0 m,N 43° 4' 47",E 13° 16' 52",ORLANDO Riccardo,30.00 m,Bitume,Quadrata
SAN SEVERINO MARCHE,239.0 m,N 43° 14' 13",E 13° 11' 34",ORLANDO Riccardo,27.00 m,Bitume,Circolare
SASSOCORVARO,218 m,N 43° 46' 59",E 12° 29' 32",ORLANDO Riccardo,27.00 m,Calcestruzzo,Circolare
SERRA DE CONTI,114.0 m,N 43° 33' 47",E 13° 1' 48",ORLANDO Riccardo,34.80 m,Bitume,Quadrata
Serravalle di Chienti,803.0 m,N 43° 1' 27",E 12° 54' 53",ORLANDO Riccardo,27.00 m,Bitume,Circolare
Servigliano,231.0 m,N 43° 4' 29",E 13° 29' 11",ORLANDO Riccardo,27.00 m,Calcestruzzo,Circolare
TRONTO,6.0 m,N 42° 53' 21",E 13° 52' 23",Verrazzo Giovanni,24 m,Calcestruzzo,Rettangolare
