Name,Altitude,Latitude,Longitude,Manager,BaseSize,Pavement,Shape
ALEX,89.0 m,N 44° 55' 17",E 8° 38' 4",COLOMBO Roberto,27 m,Calcestruzzo,Circolare
Arturo Santi,203.0 m,N 44° 39' 52",E 8° 17' 55",Reggio Stefano,26 m,Bitume,Circolare
BALOCCO,193.0 m,N 45° 29' 14",E 8° 18' 22",Reale Domenico Antonio,26 m,Calcestruzzo,Circolare
BARAGGIOLO,411.0 m,N 45° 14' 18",E 7° 31' 59",LASTONE Paola,26.50 m,Calcestruzzo,Circolare
CAFASSE,390.0 m,N 45° 14' 18",E 7° 31' 59",AIRAUDI Mauro,27 m,Calcestruzzo,Circolare
Costigliole,304 m,N 44° 47' 14.68",E 08° 11' 42.88",FABIO BALDI,12.50 m,Calcestruzzo,Circolare
Croce Verde di SALUZZO,311.0 m,N 44° 39' 9",E 7° 28' 9",COLOMBO Roberto,27 m,Calcestruzzo,Circolare
ELICUNEO,195 m,N 44° 45' 34",E 8° 11' 19",Mauro Gian Bartolo Marino,15 m,Calcestruzzo,Quadrato
ELIOSSOLA,280 m,N 46° 7' 22",E 8° 17' 54",CACCINI Massimo,26 m,Calcestruzzo,Circolare
FERRERO ALBA,166 m,N 44° 42 '07",E 8° 1' 13",NICOLA RICCHIUTI,26 m,Calcestruzzo,Circolare
HELIWEST,40 m,N 44° 48' 40",E 8° 9' 9",Paola Lastone,23 m,Calcestruzzo,Esagonale
LINGO,275 m,N 45° 1' 51",E 7° 39' 53",Reale Domenico Antonio,20.46 m,Metallo,Circolare
LONG,196 m,N 45° 47' 35",E 8° 32' 27",Alves Ribeiro Ricardo Jose,20 m,Erbosa,Circolare
Nuovo Ospedale di Borgosesia,373 m,N 45° 42' 44",E 8° 15' 47",COLOMBO Roberto,26 m,Calcestruzzo,Circolare
Ospedale ALBA-BRA,236 m,N 44° 40' 30",E 7° 55' 53",COLOMBO Roberto,36 m,Calcestruzzo,Circolare
OSPEDALE C.T.O.,228 m,N 45° 2' 1",E 7° 40' 30",COLOMBO Roberto,27 m,Calcestruzzo,Circolare
Ospedale di Biella,372 m,N 45° 32' 40",E 8° 3' 38",COLOMBO Roberto,27 m,Calcestruzzo,Circolare
Ospedale di Mondovì,449 m,N 44° 23' 28",E 7° 48' 13",COLOMBO Roberto,27 m,Calcestruzzo,Circolare
Ospedale di Novara,147 m,N 45° 25' 52",E 8° 36' 23",COLOMBO Roberto,26 m,Calcestruzzo,Circolare
Ospedale di Rivoli,342 m,N 45° 3' 37",E 7° 31' 21",COLOMBO Roberto,27 m,Calcestruzzo,Circolare
Ospedale di Susa,496 m,N 45° 8' 13",E 7° 3' 5",COLOMBO Roberto,27 m,Calcestruzzo,Circolare
OSPEDALE EDOARDO AGNELLI,382 m,N 44° 52' 58",E 7° 19' 2",COLOMBO Roberto,27 m,Calcestruzzo,Circolare
OSPEDALE SANTA CROCE E CARLE,550 m,N 44° 23' 19",E 7° 31' 20",COLOMBO Roberto,27 m,Calcestruzzo,Circolare
PEGASUS 2000,298 m,N 45° 18' 36",E 7° 39' 52",ENRIETTI Stefano,20 m,Calcestruzzo,Circolare
ROBASSOMERO,365 m,N 45° 12' 20",E 7° 33' 17",AIRAUDI Mauro,26 m,Calcestruzzo,Quadrata
STREVI,142 m,N 44° 41' 03",E 8° 32' 50",Giovanni Subrero,27 m,Calcestruzzo,Circolare
X ALP PIEDIMULERA,230 m,N 46° 1' 20",E 8° 16' 22",LOCATELLI Giuseppe,30 m,Calcestruzzo,Rettangolare
