Name,Altitude,Latitude,Longitude,Manager,BaseSize,Pavement,Shape
AGUSTA,12 m,N 40° 40' 23",E 17° 55' 18",Emanuele Iannello,33 m,Calcestruzzo,Circolare
CELENZA VALFORTORE,610 m,N 41° 33' 54",E 14° 59' 56",PUCILLO Roberto,35 m,Bitume,Quadrata
ELISUPERFICIE DEL GARGANO K.FLY,0 m,N 41° 54' 40",E 15° 48' 41"E,FRANCESCO CARMELO DI LELLA,10 m,Calcestruzzo,Quadrata
Foggia,85 m,N 41° 25' 26",E 15° 32' 2",Pucillo Vincenzo,26 m,Calcestruzzo,Circolare
MASS. ANGIULLI GRANDE,171 m,N 40° 34' 01.26",E 17° 22' 42",Motolese Vincenzo Giuseppe Berardino,10 m,Calcestruzzo,Quadrata
MELENDUGNO,22 m,N 40° 14' 51",E 18° 26' 11",PUCILLO Roberto,26 m,Bitume,Quadrata
Nuovo Ospedale F. Miulli,373 m,N 40° 51' 52",E 16° 48' 5",LOSACCO Dino,25.3 m,Bitume,Circolare
OMNISPORT VIESTE,14 m,N 41° 51' 59",E 16° 9' 55",PUCILLO Roberto,35 m,Calcestruzzo,Quadrata
Ospedale Dimiccoli,15 m,N 41° 18' 52",E 16° 15' 13",LOSACCO Dino,25 m,Calcestruzzo,Rettangolare
PESCHICI 1,1 m,N 41° 56' 26",E 16° 0' 56",PUCILLO Roberto,25 m,Calcestruzzo,Circolare
PESCHICI 2,30 m,N 41° 55' 41",E 16° 0' 46",PUCILLO Roberto,26 m,Bitume,Circolare
SAN DOMINO,48 m,N 42° 7' 4",E 15° 29' 27",Pucillo Roberta,35 m,Bitume,Quadrata
SAN GIOVANNI ROTONDO,551 m,N 41° 41' 37",E 15° 42' 39",PUCILLO Roberto,35 m,Bitume,Quadrata
San Nicola,72 m,N 42° 7' 27",E 15° 30' 38",Pucillo Roberta,26 m,Calcestruzzo,Quadrata
SUPERSANO,107 m,N 40° 3' 13",E 18° 12' 53",PUCILLO Roberto,35 m,Bitume,Quadrata
