Name,Altitude,Latitude,Longitude,Manager,BaseSize,Pavement,Shape
ARCU DE CHELU,10 m,N 41° 5' 27",E 9° 33' 49",PETRELLA Veronica,21 m,Calcestruzzo,Circolare
BORGO ALBA BARONA,115 m,N 40° 58' 56",E 9° 32' 7",COMITI Francesca,25 m,Erbosa,Circolare
CALA GRANU,15 m,N 41° 9' 5",E 9° 31' 46",PES Giorgio,25 m,Erbosa,Circolare
COMANDO VV.F.,450 m,N 39° 52' 54",E 9° 33' 3",Aresu Paolo Andrea,25.6 m,Calcestruzzo,Circolare
Elisuperficie Ospedale di Olbia,20 m,N 40° 54' 45",E 9° 28' 13",ZUGARELLI Luciano,27 m,Calcestruzzo,Circolare
Koala 9.7,6 m,N 40° 41' 8",E 9° 43' 49",MICHIELI Lorenzo,36 m,Erbosa,Circolare
OSPEDALE Nuoro,583 m,N 40° 19' 35",E 9° 18' 51",MALLIA Salvatore,30 m,Calcestruzzo,Circolare
P.O. San Michele,3 m,N 39° 14' 58.2",E 9° 06' 26.8",Azienda Ospedaliera "G. Brotzu",26 m,Calcestruzzo,Quadrata
Romazzino,32 m,N 41° 5' 37",E 9° 33' 28",PES Giorgio,25 m,Bitume,Circolare
San Marco,10 m,N 40° 39' 50",E 8° 19' 23",BACCANTI Andrea,20 m,Bitume,Quadrata
SERRA BALESTRA,22 m,N 41° 3' 52",E 9° 28' 16",PES Giorgio,35 m,Calcestruzzo,Circolare
SMERALDINA 1,12 m,N 41° 3' 59",E 9° 25' 57",GIULIO MELONI,25 m,Erbosa,Circolare
SMERALDINA 2,11 m,N 41° 4' 0",E 9° 26' 1",GIULIO MELONI,27 m,Erbosa,Circolare
VILLA LA CONTRA,71 m,N 41° 8' 10",E 9° 30' 55",CORDA Angelo,20 m,Erbosa,Circolare
Villa La Contra 2,67 m,N 41° 8' 8",E 9° 30' 54",CORDA Angelo,25 m,Calcestruzzo,Quadrata
Villacidro,13 m,N 45° 42' 44.0",E 8° 15' 47.0",PES Giorgio,25 m,Calcestruzzo,Circolare
VVF Lanusei,450 m,N 39° 52' 54",E 9° 33' 3",Aresu Paolo Andrea,25 m,Calcestruzzo,Circolare
