Name,Altitude,Latitude,Longitude,Manager,BaseSize,Pavement,Shape
AGIP PANTANELLI,3 m,N 37° 3' 41",E 15° 16' 3",MALLIA Salvatore,20 m,Calcestruzzo,Quadrata
AIR PANAREA,110 m,N 38° 38' 45",E 15° 4' 14",VIELMO Lorenzo,26 m,Erbosa,Circolare
Attardi,683 m,N 37° 37' 58",E 13° 28' 29",MALLIA Salvatore,20 m,Calcestruzzo,Circolare
Aviatore Giuseppe De Marco,693 m,N 37° 48' 45",E 13° 18' 46",Lo Porto Davide,27 m,Calcestruzzo,Circolare
Bronte,875 m,N 37° 47' 14",E 14° 50' 39",MALLIA Salvatore,26 m,Calcestruzzo,Quadrata
Catenanuova,127 m,N 37° 33' 27",E 14° 41' 21",Di Pietro Nicola,20 m,Calcestruzzo,Quadrata
Danilo Bonarrigo,960 m,N 37° 47' 49",E 14° 34' 55",MALLIA Salvatore,20 m,Calcestruzzo,Quadrata
ENIMED,69 m,N 37° 7' 58",E 14° 17' 58",MALLIA Salvatore,25 m,Calcestruzzo,Quadrata
ETNA TAORMINA,73 m,N 37° 46' 41.80",E 15° 11' 31.00",MARCELLO MORO,11 m,Calcestruzzo,Circolare
Ferla,655 m,N 37° 7' 36",E 14° 56' 15",MALLIA Salvatore,20 m,Calcestruzzo,Quadrata
Filicudi,28 m,N 38° 33' 28",E 14° 34' 57",MANZO Ciro,28 m,Bitume,Quadrata
FRATERNITA DI MISERICORDIA,681 m,N 37° 44' 2",E 13° 48' 57",CALABRESE Concetta,28 m,Calcestruzzo,Circolare
Gagliano C.to,599 m,N 37° 42' 23",E 14° 32' 26",MALLIA Salvatore,22.5 m,Calcestruzzo,Circolare
Gaspare Rodoligo,198 m,N 37° 31' 54",E 15° 4' 4",MALLIA Salvatore,25.60 m,Calcestruzzo,Circolare
Giardini Naxos,5 m,N 37° 48' 35",E 15° 15' 30",Gabriele Postorino,26.5 m,Bitume,Circolare
Giarratana,490 m,N 37° 2' 54",E 14° 48' 21",Cannizzo Giovanni,25 m,Calcestruzzo,Quadrata
