ID,Name,Type,Purpose,Freq,OperationalHours,Latitude,Longitude,ICAO
BAP,BARI/Palese,DME,A,CH 50Y,H24,41°08'08.3"N,016°44'39.6"E,LIBD
CTN,CATANIA/Fontanarossa,DME,A,CH 36X,H24,37°27'52.4"N,015°03'30.2"E,LICC
FEE,ROMA/Fiumicino,DME,A,CH 38Y,H24,41°48'36.3"N,012°15'54.0"E,LIRF
FSS,ROMA/Fiumicino,DME,A,CH 52Y,H24,41°48'56.4"N,012°16'34.8"E,LIRF
GRS,GROSSETO,DME,A,CH 48Y,H24,42°45'11.3"N,011°03'45.1"E,LIRS
IALF,ALGHERO/Fertilia,DME,A,CH 38Y,H24,40°38'31.5"N,008°17'40.3"E,LIEA
IBBP,BOLOGNA/Borgo Panigale,DME,A,CH 34Y,H24,44°32'01.5"N,011°17'52.7"E,LIPE
IBLN,BOLOGNA/Borgo Panigale,DME,A,CH 26X,H24,44°32'24.2"N,011°16'50.8"E,LIPE
IBRM,BERGAMO/Orio al Serio,DME,A,CH 24X,H24,45°40'00.2"N,009°43'14.4"E,LIME
IBRN,BRINDISI/Casale,DME,A,CH 32Y,H24,40°39'29.2"N,017°56'39.7"E,LIBR
IBS,BRESCIA/Montichiari,DME,A,CH 42Y,H24,45°25'24.1"N,010°20'31.0"E,LIPO
ICIA,ROMA/Ciampino,DME,A,CH 42Y,H24,41°48'18.8"N,012°35'21.4"E,LIRA
IEL,CAGLIARI/Elmas,DME,A,CH 32X,H24,39°14'35.8"N,009°03'40.0"E,LIEE
IFA,ANCONA/Falconara,DME,A,CH 56X,H24,43°37'18.0"N,013°22'21.3"E,LIPY
IFLL,ROMA/Fiumicino,DME,A,CH 18X,H24,41°50'37.2"N,012°15'52.8"E,LIRF
IFRR,ROMA/Fiumicino,DME,A,CH 34Y,H24,41°48'43.7"N,012°13'31.7"E,LIRF
IFSW,ROMA/Fiumicino,DME,A,CH 26X,H24,41°47'03.4"N,012°14'14.7"E,LIRF
IFZ,FIRENZE/Peretola,DME,A,CH 40X,H24,43°48'32.3"N,011°11'59.6"E,LIRQ
ILMA,LAMPEDUSA,DME,A,CH 50X,H24,35°29'44.5"N,012°36'24.5"E,LICD
ILNT,MILANO/Linate,DME,A,CH 32Y,H24,45°26'12.7"N,009°16'32.8"E,LIML
IMA,MILANO/Malpensa,DME,A,CH 28X,H24,45°38'52.0"N,008°43'05.1"E,LIMC
IMIR,RIMINI/Miramare,DME,A,CH 48X,H24,44°01'00.1"N,012°37'17.4"E,LIPR
IMSL,MILANO/Malpensa,DME,A,CH 44Y,H24,45°38'22.2"N,008°43'59.4"E,LIMC
IOLB,OLBIA/Costa Smeralda,DME,A,CH 50X,H24,40°54'12.2"N,009°31'48.6"E,LIEO
IPE,PERUGIA/S.Francesco,DME,A,CH 46Y,H24,43°05'25.0"N,012°30'48.2"E,LIRZ
IPR,PARMA,DME,A,CH 42X,H24,44°49'55.2"N,010°17'49.9"E,LIPR
IPS,PESCARA,DME,A,CH 44X,H24,42°25'17.5"N,014°10'22.4"E,LIBP
IPTL,PANTELLERIA,DME,A,CH 46X,H24,36°49'00.1"N,011°58'28.0"E,LICG
ISM,OLBIA/Costa Smeralda,DME,A,CH 36X,H24,40°53'46.0"N,009°30'35.5"E,LIEO
ITGT,TARANTO/Grottaglie,DME,A,CH 20Y,H24,40°30'07.4"N,017°24'19.0"E,LIBG
ITO,PALERMO/Punta Raisi,DME,A,CH 42Y,H24,38°10'53.3"N,013°05'32.1"E,LICJ
ITOC,TORINO/Caselle,DME,A,CH 24X,H24,45°11'30.0"N,007°39'04.3"E,LIMF
IVRN,VERONA/Villafranca,DME,A,CH 54Y,H24,45°23'26.1"N,010°52'41.9"E,LIPX
MLP,MILANO/Malpensa,DME,A,CH 36X,H24,45°37'07.6"N,008°44'20.0"E,LIMC
NAP,NAPOLI/Capodichino,DME,A,CH 46Y(110.95MHZ),H24,40°53'29.2"N,014°17'55.8"E,LIRN
NOV,NOVARA,DME,A,(111.65MHZ),H24,45°25'27.0"N,8°47'37.8"E,LIMN
NPC,NAPOLI/Capodichino,DME,A,CH 38Y,H24,40°53'03.6"N,014°17'00.9"E,LIRN
PSS,PISA/S.Giusto,DME,A,CH 24X,H24,43°40'32.0"N,010°23'18.3"E,LIRP
REG,REGGIO CALABRIA,DME,A,CH 30X,H24,38°02'45.3"N,015°39'52.3"E,LICR
RNC,TRIESTE/Ronchi dei Legionari,DME,A,CH 44Y,H24,45°49'46.2"N,013°27'15.3"E,LIPQ
TEV,TREVISO,DME,A,CH 22Y(108.55MHZ),H24,45°38'50.6"N,012°11'01.5"E,LIPH
VTS,VENEZIA/Tessera,DME,A,CH 36Y,H24,45°29'42.4"N,012°20'31.2"E,LIPZ
