ID,Name,Type,Purpose,Freq,OperationalHours,Latitude,Longitude,ICAO
AEA,ALGHERO,DVOR,A,111.65MHZ,H24,40°38'17.4"N,008°17'30.4"E,LIEA
AEA,ALGHERO,DME,A,CH 53Y,H24,40°38'17.5"N,008°17'29.9"E,LIEA
BOA,BOLOGNA,DVOR,AE,117.10MHZ,H24,44°32'13.3"N,011°17'26.4"E,LIPE
BOA,BOLOGNA,DME,AE,CH 118X,H24,44°32'13.2"N,011°17'26.9"E,LIPE
BRL,BERGAMO,DVOR,A,111.05MHZ,H24,45°40'23.0"N,009°40'54.1"E,LIME
BRL,BERGAMO,DME,A,CH 47Y,H24,45°40'23.3"N,009°40'53.6"E,LIME
BSM,BRESCIA,DVOR,A,115.65MHZ,H24,45°26'21.4"N,010°19'10.3"E,LIPO
BSM,BRESCIA,DME,A,CH 103Y,H24,45°26'21.7"N,010°19'10.6"E,LIPO
CAR,CARBONARA,DVOR,AE,115.10MHZ,H24,39°06'40.9"N,009°30'28.9"E,LIEE
CAR,CARBONARA,DME,AE,CH 98X,H24,39°06'40.9"N,009°30'29.4"E,LIEE
FOL,FORLI',DVOR,A,115.75MHZ,H24,44°11'37.5"N,012°04'03.6"E,LIPK
FOL,FORLI',DME,A,CH 104Y,H24,44°11'37.1"N,012°04'03.4"E,LIPK
FRS,FROSINONE,DVOR,AE,115.60MHZ,H24,41°38'33.1"N,013°17'32.5"E,LIRF
FRS,FROSINONE,DME,AE,CH 103X,H24,41°38'33.3"N,013°17'32.0"E,LIRF
LIN,LINATE,DVOR,A,111.05MHZ,H24,45°40'23.0"N,009°40'54.1"E,LIML
LIN,LINATE,DME,A,CH 59Y,H24,45°27'41.2"N,009°16'27.8"E,LIML
LMT,LAMEZIA TERME,DVOR,A,112.50MHZ,H24,38°54'16.0"N,016°15'56.0"E,LICA
LMT,LAMEZIA TERME,DME,A,CH 72X,H24,38°54'16.4"N,016°15'56.1"E,LICA
LPD,LAMPEDUSA,DVOR,A,108.60MHZ,H24,35°29'59.1"N,012°37'51.3"E,LICD
LPD,LAMPEDUSA,DME,A,CH 23X,H24,35°30'01.2"N,012°37'53.1"E,LICD
PIS,PISA,DVOR,AE,112.10MHZ,H24,43°40'35.7"N,010°23'29.6"E,LIRP
PIS,PISA,DME,AE,CH 58X,H24,43°40'35.9"N,010°23'29.2"E,LIRP
PRU,PERUGIA,DVOR,A,109.40MHZ,H24,43°06'06.2"N,012°30'42.8"E,LIRZ
PRU,PERUGIA,DME,A,CH 31X,H24,43°06'06.3"N,012°30'42.3"E,LIRZ
RCA,REGGIO CALABRIA,DVOR,AE,111.00MHZ,H24,38°04'35.7"N,015°38'43.0"E,LICR
RCA,REGGIO CALABRIA,DME,AE,CH 47X,H24,38°04'35.7"N,015°38'42.5"E,LICR
SME,SMERALDA,DVOR,A,113.90MHZ,H24,40°53'24.2"N,009°30'04.6"E,LIEO
SME,SMERALDA,DME,A,CH 86X,H24,40°53'24.6"N,009°30'02.0"E,LIEO
SOR,SORRENTO,DVOR,AE,112.20MHZ,H24,40°34'56.8"N,014°20'06.1"E,LIRN
SOR,SORRENTO,DME,AE,CH 59X,H24,40°34'56.5"N,014°20'05.7"E,LIRN
