ID,Name,Type&Runway,Purpose,Freq,OperationalHours,Latitude,Longitude,ICAO
IPE,PERUGIA/S.Francesco,ILS RWY 01,A,110.95MHZ,H24,43°06'37.6"N,012°31'05.8"E,LIRZ
GRS,GROSSETO,ILS RWY 03L,A,111.15MHZ,H24,42°46'26.2"N,011°04'52.5"E,LIRS
IVRN,VERONA/Villafranca,ILS RWY 04,A,111.75MHZ,H24,45°24'27.8"N,010°54'21.7"E,LIPX
PSS,PISA/S.Giusto,ILS RWY 04R,A,108.70MHZ,H24,43°41'50.6"N,010°24'29.9"E,LIRP
VTS,VENEZIA/Tessera,ILS RWY 04R,A,109.95MHZ,H24,45°31'07.2"N,012°22'09.3"E,LIPZ
ICMS,COMISO,ILS RWY 05,A,108.95MHZ,H24,37°00'16.3"N,014°37'18.7"E,LICB
IFZ,FIRENZE/Peretola,ILS RWY 05,A,110.30MHZ,H24,43°48'42.8"N,011°12'09.7"E,LIRQ
ISM,OLBIA/Costa Smeralda,ILS RWY 05,A,109.90MHZ,H24,40°54'28.8"N,009°32'07.6"E,LIEO
NPC,NAPOLI/Capodichino,ILS RWY 06,A,110.15MHZ,H24,40°53'12.8"N,014°17'23.5"E,LIRN
BAP,BARI/Palese,ILS RWY 07,A,111.35MHZ,H24,41°08'35.2"N,016°46'36.6"E,LIBD
TRE,TREVISO/S.Angelo,ILS RWY 07,A,109.30MHZ,H24,45°39'11.1"N,012°12'41.0"E,LIPH
CTN,CATANIA/Fontanarossa,ILS RWY 08,A,109.90MHZ,H24,37°28'05.1"N,015°04'55.3"E,LICC
RNC,TRIESTE/Ronchi dei Legionari,ILS RWY 09,A,110.75MHZ,H24,45°49'39.8"N,013°29'28.0"E,LIPQ
FOR,FORLI',ILS RWY 12,A,109.70MHZ,H24,44°11'20.2"N,012°05'13.0"E,LIPK
IBLN,BOLOGNA/Borgo Panigale,ILS RWY 12,A,108.90MHZ,H24,44°31'45.2"N,011°18'21.4"E,LIPE
ICIA,ROMA/Ciampino,ILS RWY 15,A,110.55MHZ,H24,41°47'19.0"N,012°36'08.1"E,LIRA
IFLL,ROMA/Fiumicino,ILS RWY 16L,A,108.10MHZ,H24,41°48'32.3"N,012°16'37.1"E,LIRF
IFRR,ROMA/Fiumicino,ILS RWY 16R,A,109.75MHZ,H24,41°46'43.0"N,012°14'30.5"E,LIRF
IMSL,MILANO/Malpensa,ILS RWY 17L,A,110.75MHZ,H24,45°36'47.2"N,008°44'17.6"E,LIMC
IALF,ALGHERO/Fertilia,ILS RWY 20,A,110.15MHZ,H24,40°37'06.4"N,008°16'57.2"E,LIEA
IPR,PARMA,ILS RWY 20,A,110.50MHZ,H24,44°48'56.0"N,010°17'31.9"E,LIMP
ITO,PALERMO/Punta Raisi,ILS RWY 20,A,110.55MHZ,H24,38°09'54.0"N,013°05'05.9"E,LICJ
LEV,CUNEO/Levaldigi,ILS RWY 21,A,110.95MHZ,H24,44°32'12.5"N,007°36'49.2"E,LIMZ
IFA,ANCONA/Falconara,ILS RWY 22,A,111.90MHZ,H24,43°36'21.0"N,013°20'52.4"E,LIPY
IPS,PESCARA,ILS RWY 22,A,110.70MHZ,H24,42°25'17.5"N,014°10'22.4"E,LIBP
IOLB,OLBIA/Costa Smeralda,ILS RWY 23,A,111.30MHZ,H24,40°53'29.3"N,009°30'14.1"E,LIEO
INPL,NAPOLI/Capodichino,ILS RWY 24,A,109.50MHZ,H24,40°52'44.6"N,014°16'33.6"E,LIRN
FEE,ROMA/Fiumicino,ILS RWY 25,A,110.15MHZ,H24,41°47'55.0"N,012°13'46.5"E,LIRF
IPTL,PANTELLERIA,ILS RWY 25,A,110.90MHZ,H24,36°48'49.5"N,011°57'17.7"E,LICG
RAI,PALERMO/Punta Raisi,ILS RWY 25,A,109.50MHZ,H24,38°10'25.2"N,013°05'04.5"E,LICJ
IAOS,AOSTA,ILS RWY 27,A,109.75MHZ,H24,45°44'23.0"N,007°22'30.1"E,LIMW
GSE,GENOVA/Sestri,ILS RWY 28,A,109.30MHZ,H24,44°24'59.8"N,008°49'22.0"E,LIMJ
IBRM,BERGAMO/Orio al Serio,ILS RWY 28,A,108.70MHZ,H24,45°40'17.6"N,009°41'13.2"E,LIME
LAM,LAMEZIA TERME,ILS RWY 28,A,110.30MHZ,H24,38°54'26.3"N,016°13'33.5"E,LICA
