ID,Name,Type,Purpose,Freq,OperationalHours,Latitude,Longitude,ICAO
ABN,ALBENGA,NDB,AE,420.00KHZ,H24,44°03'22"N,008°13'16"E,LIMG
AVI,AVIANO,NDB,E,390.00KHZ,H24,45°55'28"N,012°25'43"E,LIPA
CAL,CAGLIARI,NDB,A,316.00KHZ,H24,39°14'35.9"N,009°03'32.2"E,LIEE
DEC,DECIMOMANNU,NDB,AE,331.00KHZ,H24,39°21'49.00"N,008°58'27.00"E,LIED
PTC,PONTECAGNANO,NDB,A,324.00KHZ,H24,40°37'14.3"N,014°54'27.2"E,LIRI
RIV,RIVOLTO,NDB,E,371.00KHZ,H24,45°56'07"N,012°56'31"E,LIPI
SIG,SIGONELLA,NDB,E,412.00KHZ,H24,37°23'45"N,014°58'18"E,LICZ
SRN,SARONNO,NDB,AE,330.00KHZ,H24,45°38'48"N,009°01'22"E,LIMB
SVC,COMAGNE,NDB,A,418.00KHZ,H24,45°44'43.4"N,007°42'55.8"E,LIMW
TRP,TRAPANI,NDB,AE,317.50KHZ,H24,37°54'52"N,012°29'35"E,LICT
TZO,TREZZO,NDB,AE,345.00KHZ,H24,45°33'30.5"N,009°30'33.5"E,LIME
URB,URBE,NDB,A,285.00KHZ,H24,41°56'40.9"N,012°29'24.2"E,LIRU
