ABN,ALBENGA,NDB,AE
AEA,ALGHERO,DVOR/DME,A
AHO,ALGHERO,TACAN,AE
ALB,ALBENGA,VOR/DME,A
ALG,ALGHERO,VORTAC,AE
ANC,ANCONA,VOR/DME,AE
AVI,AVIANO,NDB,E
AVI,AVIANO,TACAN,E
BAP,BARI/Palese,DME,A
BAP,BARI/Palese,ILS RWY 07,A
BAR,BARI,VOR/DME,AE
BCS,BRINDISI,VOR/DME,A
BOA,BOLOGNA,DVOR/DME,AE
BRL,BERGAMO,DVOR/DME,A
BSM,BRESCIA,DVOR/DME,A
CAG,CAGLIARI,VOR/DME,AE
CAL,CAGLIARI,NDB,A
CAM,CAMERI,TACAN,E
CAR,CARBONARA,DVOR/DME,AE
CDC,CARAFFA DI CATANZARO,VORTAC,AE
CEV,CERVIA,TACAN,E
CHI,CHIOGGIA,VOR/DME,AE
CLL,CASELLE,TACAN,AE
CMP,CAMPAGNANO,TVOR/DME,A
COD,CODOGNO,L,AE
COM,COMISO,VOR/DME,A
CRN,CROTONE,VOR/DME,AE
CSL,CASELLE,VOR/DME,A
CTF,CATANIA/Fontanarossa,VOR/DME,AE
CTN,CATANIA/Fontanarossa,DME,A
CTN,CATANIA/Fontanarossa,ILS RWY 08,A
DEC,DECIMOMANNU,NDB,AE
DEC,DECIMOMANNU,TACAN,AE
ELB,ELBA,VORTAC,AE
FAL,FALCONARA,TACAN,AE
FEE,ROMA/Fiumicino,DME,A
FEE,ROMA/Fiumicino,ILS RWY 25,A
FGG,FOGGIA,VOR/DME,A
FOL,FORLI',DVOR/DME,A
FOR,FORLI',ILS RWY 12,A
FRS,FROSINONE,DVOR/DME,AE
FSS,ROMA/Fiumicino,DME,A
FSS,ROMA/Fiumicino,ILS RWY 34R,A
GEN,GENOVA,VOR/DME,AE
GHE,GHEDI,TACAN,E
GIO,GIOIA DEL COLLE,TACAN,E
GRA,GRAZZANISE,L,E
GRA,GRAZZANISE,TACAN,E
GRO,GROSSETO,DVOR,AE
GRO,GROSSETO,TACAN,AE
GRS,GROSSETO,DME,A
GRS,GROSSETO,ILS RWY 03L,A
GRT,GROTTAGLIE,TACAN,AE
GSE,GENOVA/Sestri,DME-P,A
GSE,GENOVA/Sestri,ILS RWY 28,A
IALF,ALGHERO/Fertilia,DME,A
IALF,ALGHERO/Fertilia,ILS RWY 20,A
IAOS,AOSTA,DME-P,A
IAOS,AOSTA,ILS RWY 27,A
IBBP,BOLOGNA/Borgo Panigale,DME,A
IBBP,BOLOGNA/Borgo Panigale,ILS RWY 30,A
IBLN,BOLOGNA/Borgo Panigale,DME,A
IBLN,BOLOGNA/Borgo Panigale,ILS RWY 12,A
IBRM,BERGAMO/Orio al Serio,DME,A
IBRM,BERGAMO/Orio al Serio,ILS RWY 28,A
IBRN,BRINDISI/Casale,DME,A
IBRN,BRINDISI/Casale,ILS RWY 31,A
IBS,BRESCIA/Montichiari,DME,A
IBS,BRESCIA/Montichiari,ILS RWY 32,A
IBZ,BOLZANO,DME-P,A
IBZ,BOLZANO,LOC RWY 01,A
ICIA,ROMA/Ciampino,DME,A
ICIA,ROMA/Ciampino,ILS RWY 15,A
ICMS,COMISO,ILS RWY 05,A
IEL,CAGLIARI/Elmas,DME,A
IEL,CAGLIARI/Elmas,ILS RWY 32,A
IFA,ANCONA/Falconara,DME,A
IFA,ANCONA/Falconara,ILS RWY 22,A
IFLL,ROMA/Fiumicino,DME,A
IFLL,ROMA/Fiumicino,ILS RWY 16L,A
IFRR,ROMA/Fiumicino,DME,A
IFRR,ROMA/Fiumicino,ILS RWY 16R,A
IFSW,ROMA/Fiumicino,DME,A
IFSW,ROMA/Fiumicino,ILS RWY 34L,A
IFZ,FIRENZE/Peretola,DME,A
IFZ,FIRENZE/Peretola,ILS RWY 05,A
ILMA,LAMPEDUSA,DME,A
ILMA,LAMPEDUSA,LOC RWY 26,A
ILNT,MILANO/Linate,DME,A
ILNT,MILANO/Linate,ILS RWY 35,A
IMA,MILANO/Malpensa,DME,A
IMA,MILANO/Malpensa,ILS RWY 35L,A
IMIR,RIMINI/Miramare,DME,A
IMIR,RIMINI/Miramare,ILS RWY 31,A
IMSL,MILANO/Malpensa,DME,A
IMSL,MILANO/Malpensa,ILS RWY 17L,A
INPL,NAPOLI/Capodichino,ILS RWY 24,A
IOLB,OLBIA/Costa Smeralda,DME,A
IOLB,OLBIA/Costa Smeralda,ILS RWY 23,A
IPE,PERUGIA/S.Francesco,DME,A
IPE,PERUGIA/S.Francesco,ILS RWY 01,A
IPR,PARMA,DME,A
IPR,PARMA,ILS RWY 20,A
IPS,PESCARA,DME,A
IPS,PESCARA,ILS RWY 22,A
IPTL,PANTELLERIA,DME,A
IPTL,PANTELLERIA,ILS RWY 25,A
ISA,ISTRANA,TACAN,E
ISM,OLBIA/Costa Smeralda,DME,A
ISM,OLBIA/Costa Smeralda,ILS RWY 05,A
ITGT,TARANTO/Grottaglie,DME,A
ITGT,TARANTO/Grottaglie,ILS RWY 35,A
ITO,PALERMO/Punta Raisi,DME,A
ITO,PALERMO/Punta Raisi,ILS RWY 20,A
ITOC,TORINO/Caselle,DME,A
ITOC,TORINO/Caselle,ILS RWY 36,A
IVRN,VERONA/Villafranca,DME,A
IVRN,VERONA/Villafranca,ILS RWY 04,A
LAM,LAMEZIA TERME,DME-P,A
