ID,Name,Type,Purpose,Freq,OperationalHours,Latitude,Longitude,ICAO
AHO,ALGHERO,TACAN,AE,CH 30X,H24,40°38'09.8"N,008°17'22.4"E,LIEA
AVI,AVIANO,TACAN,E,CH 111X,H24,46°01'40"N,012°35'13"E,LIPA
CAM,CAMERI,TACAN,E,CH 97X,H24,45°34'13"N,008°39'27"E,LIMN
CEV,CERVIA,TACAN,E,CH 83X,H24,44°12'23"N,012°21'26"E,LIPC
CLL,CASELLE,TACAN,AE,CH 27X,H24,45°11'37.7"N,007°39'10.2"E,LIMF
DEC,DECIMOMANNU,TACAN,AE,108.2MHZ,H24,39°22'52.0"N,8°57'56.0"E,LIED
FAL,FALCONARA,TACAN,AE,CH 35X,H24,43°34'36.7"N,013°17'58.3"E,LIPY
GHE,GHEDI,TACAN,E,CH 46X,H24,45°26'25"N,010°15'50"E,LIPL
GIO,GIOIA DEL COLLE,TACAN,E,CH 125X,H24,40°48'05"N,016°54'05"E,LIBV
GRA,GRAZZANISE,TACAN,E,CH 122X,H24,41°03'29"N,014°05'06"E,LIRM
GRO,GROSSETO,TACAN,AE,CH 35Y,H24,42°45'37.2"N,011°04'38.6"E,LIRS
GRT,GROTTAGLIE,TACAN,AE,CH 115X,H24,40°29'21.4"N,017°24'39.2"E,LIBG
ISA,ISTRANA,TACAN,E,CH 80X,H24,45°41'15"N,012°07'01"E,LIPS
MNL,AMENDOLA,TACAN,E,CH 99Y,H24,41°32'52"N,015°41'23"E,LIBA
PIA,PIACENZA,TACAN,E,CH 121X,H24,44°55'04"N,009°43'15"E,LIMS
PIN,PISA,TACAN,AE,CH 20X,H24,43°43'13.0"N,010°25'56.4"E,LIRP
RIV,RIVOLTO,TACAN,E,CH 37X,H24,45°59'45"N,013°05'18"E,LIPI
SIG,SIGONELLA,TACAN,E,CH 53X,H24,37°23'45"N,014°58'16"E,LICZ
TPR,PRATICA DI MARE,TACAN,E,CH 24X,H24,41°37'18"N,012°29'38"E,LIRE
