ID,Name,Type,Purpose,Freq,OperationalHours,Latitude,Longitude,ICAO
ALB,ALBENGA,VOR,A,116.95MHZ,H24,44°02'53.4"N,008°07'39.4"E,LIMG
ALB,ALBENGA,DME,A,CH 116Y,H24,44°02'53.8"N,008°07'39.4"E ,LIMG
ANC,ANCONA,VOR,AE,110.65MHZ,H24,43°35'11.2"N,013°28'16.0"E,LIPY
ANC,ANCONA,DME,AE,CH 43Y,H24,43°35'11.3"N,013°28'16.5"E,LIPY
BAR,BARI,VOR,AE,116.40MHZ,H24,41°08'39.3"N,016°46'35.2"E,LIBD
BAR,BARI,DME,AE,CH 111X,H24,41°08'39.3"N,016°46'35.7"E,LIBD
BCS,BRINDISI,VOR,A,113.55MHZ,H24,40°39'30.9"N,017°57'06.9"E,LIBR
BCS,BRINDISI,DME,A,CH 82Y,H24,40°39'31.2"N,017°57'07.3"E,LIBR
CAG,CAGLIARI,VOR,AE,113.40MHZ,H24,39°14'56.3"N,009°03'14.6"E,LIEE
CAG,CAGLIARI,DME,AE,CH 81X,H24,39°14'55.8"N,009°03'14.3"E,LIEE
CHI,CHIOGGIA,VOR,AE,114.10MHZ,H24,45°04'15.9"N,012°16'53.2"E,LIPZ
CHI,CHIOGGIA,DME,AE,CH 88X,H24,45°04'15.9"N,012°16'52.6"E,LIPZ
COM,COMISO,VOR,A,113.45MHZ,H24,36°59'06.3"N,014°35'40.7"E,LICB
COM,COMISO,DME,A,CH 81Y,H24,36°59'05.8"N,014°35'40.7"E,LICB
CRN,CROTONE,VOR,AE,117.10MHZ,H24,38°59'46.0"N,017°04'59.0"E,LIBC
CRN,CROTONE,DME,AE,CH 118X,H24,38°59'46.0"N,017°04'59.4"E,LIBC
CSL,CASELLE,VOR,A,116.75MHZ,H24,45°13'11.0"N,007°38'58.4"E,LIMF
CSL,CASELLE,DME,A,CH 114Y,H24,45°13'11.1"N,007°38'57.9"E,LIMF
CTF,CATANIA/Fontanarossa,VOR,AE,116.25MHZ,H24,37°27'52.0"N,015°03'44.2"E,LICC
CTF,CATANIA/Fontanarossa,DME,AE,CH 109Y,H24,37°27'52.1"N,015°03'44.7"E,LICC
FGG,FOGGIA,VOR,A,116.25MHZ,H24,37°27'52.0"N,015°03'44.2"E,LIBF
FGG,FOGGIA,DME,A,CH 109Y,H24,37°27'52.1"N,015°03'44.7"E,LIBF
GEN,GENOVA,VOR,AE,112.80MHZ,H24,44°25'28.0"N,009°04'56.4"E,LIMJ
GEN,GENOVA,DME,AE,CH 75X,H24,44°25'28.0"N,009°04'57.2"E,LIMJ
LAT,LATINA,VOR,AE,111.20MHZ,H24,41°32'28.0"N,012°55'05.0"E,LIRL
LAT,LATINA,DME,AE,CH 49X,H24,41°32'27.9"N,012°55'04.4"E,LIRL
MMP,MALPENSA,VOR,AE,113.35MHZ,H24,45°38'26.8"N,008°44'05.4"E,LIMC
MMP,MALPENSA,DME,AE,CH 80Y,H24,45°38'27.1"N,008°44'06.0"E,LIMC
OST,OSTIA,VOR,AE,114.90MHZ,H24,41°48'13.6"N,012°14'15.1"E,LIRF
OST,OSTIA,DME,AE,CH 96X,H24,41°48'14.0"N,012°14'14.9"E,LIRF
OZE,BOLZANO,VOR,AE,117.05MHZ,H24,46°24'18.7"N,011°17'32.3"E,LIPB
OZE,BOLZANO,DME,AE,CH 117Y,H24,46°24'18.9"N ,011°17'32.9"E,LIPB
PAL,PALERMO/Punta Raisi,VOR,AE,112.30MHZ,H24,38°02'00.9"N,013°10'38.8"E,LICJ
PAL,PALERMO/Punta Raisi,DME,AE,CH 70X,H24,38°02'01.3"N,013°10'38.9"E,LICJ
PAN,PANTELLERIA,VOR,AE,112.30MHZ,H24,38°02'00.9"N,013°10'38.8"E,LICG
PAN,PANTELLERIA,DME,AE,CH 70X,H24,38°02'01.3"N,013°10'38.9"E,LICG
PES,PESCARA,VOR,AE,115.90MHZ,H24,42°26'09.1"N,014°11'03.5"E,LIBP
PES,PESCARA,DME,AE,CH 106X,H24,42°26'09.7"N,014°11'03.8"E,LIBP
PRT,PERETOLA,VOR,AE,112.50MHZ,H24,43°48'35.4"N,011°12'01.8"E,LIRQ
PRT,PERETOLA,DME,AE,CH 72X,H24,43°48'35.1"N,011°12'02.1"E,LIRQ
PTC,PONTECAGNANO,VOR,A,110.45MHZ,H24,40°37'12.0"N,014°54'30.1"E,LIRI
PTC,PONTECAGNANO,DME,A,CH 41Y,H24,40°37'12.5"N,014°54'30.1"E,LIRI
RMC,ROMA,VOR,AE,110.80MHZ,H24,41°48'16.8"N,012°35'16.8"E,LIRF
RMC,ROMA,DME,AE,CH 45X,H24,41°48'16.7"N,012°35'16.3"E,LIRF
SCS,AOSTA,VOR,A,109.25MHZ,H24,45°44'44.1"N,007°20'19.3"E,LIMW
SCS,AOSTA,DME,A,CH 29Y,H24,45°44'43.7"N,007°20'19.0"E,LIMW
SES,SESTRI,VOR,A,108.60MHZ,H24,44°25'02.4"N,008°49'25.1"E,LIMJ
SES,SESTRI,DME,A,CH 23X,H24,44°25'02.8"N,008°49'25.0"E,LIMJ
SRN,SARONNO,VOR,AE,113.70MHZ,H24,45°38'45.5"N,009°01'17.7"E,LIMC
SRN,SARONNO,DME,AE,CH 84X,H24,45°38'45.4"N,009°01'17.1"E,LIMC
TAG,TARANTO,VOR,A,110.20MHZ,H24,40°30'34.9"N,017°24'28.8"E,LIBG
TAG,TARANTO,DME,A,CH 39X,H24,40°30'35.0"N,017°24'29.3"E,LIBG
TAQ,TARQUINIA,VOR,AE,111.80MHZ,H24,42°12'54.2"N,011°43'57.4"E,LIRF
TAQ,TARQUINIA,DME,AE,CH 55X,H24,42°12'54.2"N,011°43'57.4"E,LIRF
TEA,TEANO,VOR,AE,112.90MHZ,H24,41°17'48.4"N,013°58'14.4"E,LIRN
TEA,TEANO,DME,AE,CH 76X,H24,41°17'48.4"N,013°58'14.4"E,LIRN
TES,TESSERA,VOR,A,115.30MHZ,H24,45°31'08.7"N,012°22'05.5"E,LIPZ
TES,TESSERA,DME,A,CH 100X,H24,45°31'09.1"N,012°22'05.6"E,LIPZ
TNT,TRENTO,VOR,AE,115.35MHZ,H24,46°01'12.9"N,011°08'24.0"E,LIDT
TNT,TRENTO,DME,AE,CH 100Y,H24,46°01'12.9"N,011°08'23.4"E,LIDT
TOP,TORINO,VOR,AE,114.50MHZ,H24,44°55'31.5"N,007°51'42.0"E,LIMF
TOP,TORINO,DME,AE,CH 92X,H24,44°55'31.0"N,007°51'41.9"E,LIMF
TVS,TREVISO,VOR,A,114.35MHZ,H24,45°38'55.7"N,012°11'14.1"E,LIPH
TVS,TREVISO,DME,A,CH 90Y,H24,45°38'56.1"N,012°11'13.9"E,LIPH
TZO,TREZZO,VOR,AE,117.25MHZ,H24,45°33'33.2"N,009°30'25.2"E,LIME
TZO,TREZZO,DME,AE,CH 119Y,H24,45°33'33.5"N,009°30'25.6"E,LIME
VIC,VICENZA,VOR,AE,113.40MHZ,H24,45°38'14.3"N,011°40'34.9"E,LIPB
VIC,VICENZA,DME,AE,CH 81X,H24,45°38'14.3"N,011°40'34.3"E,LIPB
VIE,VIESTE,VOR,AE,112.60MHZ,H24,41°54'46.3"N,016°02'56.7"E,LIBD
VIE,VIESTE,DME,AE,CH 73X,H24,41°54'46.0"N,016°02'56.3"E,LIBD
VOG,VOGHERA,VOR,AE,110.45MHZ,H24,44°57'52.5"N,008°58'12.7"E,LIML
VOG,VOGHERA,DME,AE,CH 41Y,H24,44°57'52.1"N,008°58'12.7"E,LIML
