Name,Latitude,Longitude,RouteDesignator,Procedure,FRA
ABADI,40°45'19''N,018°38'30''E,"P92, Q920","BR star, BR sid",FRA(I)
ABAKO,37°11'02''N,016°39'58''E,"M600, P3",NULL,
ABDAB,37°53'21''N,010°37'43''E,"L44, N157",NULL,FRA(X)
ABESI,46°09'35''N,009°02'34''E,N851,"MF sid, MZ sid",FRA(X)
ABIDU,40°59'19''N,010°22'14''E,Z924,NULL,FRA(I)
ABKON,39°52'20''N,010°48'24''E,M622,NULL,FRA(I)
ABLEX,44°27'36''N,011°29'51''E,NULL,"PE star, PE ial",
ABLID,45°08'24''N,010°31'09''E,NULL,"PX star, PX ial",
ABMOG,44°42'52''N,010°58'14''E,"Q95, Z388",NULL,FRA(I)
ABREG,46°18'25''N,009°33'05''E,Y170,NULL,
ABROX,45°01'42''N,011°43'57''E,KY139,NULL,
ABRUS,36°51'40''N,012°09'54''E,NULL,"CG star, CG ial",
ABSEM,45°29'02''N,009°23'53''E,NULL,"ME sid, ML sid",
ABSID,38°25'20''N,013°10'29''E,NULL,CJ star,
ABTIM,44°37'30''N,010°36'56''E,Z963,PE star,FRA(I)
ABUKI,37°32'01''N,015°33'33''E,"M621, Q72",NULL,FRA(I)
ABULO,45°34'27''N,006°59'42''E,T345,NULL,
ACCOT,40°40'39''N,014°07'32''E,NULL,RN star,
ACSEZ,45°31'29''N,008°28'56''E,NULL,MC sid,
ACVUG,41°01'32''N,016°21'52''E,NULL,BD star,
ADAMI,38°42'17''N,010°56'56''E,"L44, M871",NULL,FRA(I)
ADBAL,44°36'08''N,011°26'59''E,"L12, Y504",NULL,FRA(I)
ADEXI,37°20'44''N,013°01'31''E,"M215, M622, M742, Q213",NULL,FRA(EX)
ADISO,45°33'33''N,007°17'36''E,L50,NULL,FRA(I)
ADMAS,37°33'44''N,017°51'29''E,NULL,NULL,FRA(I)
ADMOP,41°19'19''N,012°07'10''E,NULL,"RF sid, RA sid",
ADOLO,44°35'42''N,011°07'22''E,NULL,PE ial,
ADOSA,45°38'40''N,011°01'35''E,"L612, L615, M736, M738, P131, Y498, Y516","PB star, PB sid, PH star, PO sid",FRA(I)
ADREN,38°50'18''N,017°44'09''E,M601,"BC star, BC sid",FRA(I)
ADRUX,40°45'52''N,009°35'56''E,"Q125, Z924",NULL,FRA(I)
ADSAS,45°11'43''N,010°25'51''E,NULL,"PX star, PO star, PO ial",
ADUKA,38°33'44''N,011°57'03''E,"M622, M740","CT star, CT sid",FRA(I)
ADXEF,45°14'29''N,011°14'14''E,Y614,PO sid,
AFFOV,44°54'23''N,011°13'49''E,Y247,NULL,
AFNEW,44°47'45''N,011°03'36''E,Y641,PO sid,
AGEKO,37°30'59''N,015°26'01''E,NULL,"CR star, CR sid",
AGGUF,45°04'36''N,011°10'12''E,Y474,PX sid,
AGMIK,40°41'54''N,009°24'31''E,NULL,EO star,
AGMUB,35°28'45''N,013°05'24''E,NULL,CD sid,
AGNIS,39°48'27''N,014°45'03''E,"M729, Y751, Z854","CA sid, RN sid",FRA(I)
AGOMO,45°01'01''N,012°48'07''E,"L613, L614, T128",NULL,FRA(I)
AGOTI,41°08'16''N,014°38'52''E,NULL,"RN star, RN ial",
AGVAF,45°20'40''N,009°17'19''E,NULL,ML ial,
AHCAB,37°18'52''N,014°28'04''E,NULL,CC star,
AIOSA,41°55'42''N,017°14'54''E,"L862, P748",NULL,FRA(EX)
AIXBA,45°13'21''N,011°02'04''E,NULL,"PX star, PO star",
AKADO,45°20'00''N,012°30'00''E,"L613, L615, M196, Q561, T101, Y265, Y941","PZ sid, PZ ial",FRA(I)
AKASU,46°06'35''N,008°29'44''E,"Y29, Z424","MF star, MZ star",
AKILI,41°49'50''N,012°19'10''E,NULL,"RA sid, RF star",
AKUTO,43°27'50''N,010°44'09''E,L12,"RQ star, RQ sid",
ALARI,44°43'59''N,007°56'32''E,NULL,MF star,
ALAXI,41°44'05''N,013°20'52''E,L995,RA star,FRA(I)
ALBET,45°25'36''N,011°30'33''E,"L612, M726, T134, T492","PH star, PH sid, PZ star",FRA(I)
ALDAF,41°04'25''N,014°26'23''E,NULL,RN star,
ALEDI,39°36'37''N,009°59'38''E,M126,NULL,FRA(I)
ALESE,46°16'30''N,011°24'14''E,"L12, M985, Y107, Y108","PB star, PB sid, PH star",FRA(I)
ALEXA,44°46'22''N,008°02'44''E,NULL,"MF star, MF sid",
ALIXI,39°27'08''N,017°26'34''E,L81,NULL,FRA(I)
ALOKU,37°17'41''N,013°33'54''E,L12,NULL,FRA(I)
ALUDU,37°09'11''N,015°34'47''E,M871,CC sid,
AMANO,39°25'18''N,013°47'48''E,"M601, M621, M742, N982, P748, Q789, Z925","RI star, RI sid",FRA(I)
AMGOK,42°39'18''N,013°53'46''E,M872,BP star,FRA(I)
AMLON,44°20'21''N,012°52'35''E,L612,"PK sid, PR star, PR sid",FRA(I)
AMMOD,40°56'26''N,014°09'39''E,NULL,RN star,
AMMUF,43°33'04''N,013°08'38''E,NULL,"PY Star, PY ial",
AMOXI,44°35'51''N,009°22'01''E,"Q713, T836",ML star,
AMREX,37°58'16''N,017°55'02''E,"M600, M729",NULL,FRA(I)
AMSED,43°46'16''N,013°01'07''E,"N737, Y765, Z905",NULL,FRA(I)
AMSOR,41°09'26''N,014°52'09''E,"L995, N7, Q81, T75",RN star,FRA(I)
AMTEL,43°13'13''N,011°36'31''E,"L995, M727, M738, Q411, Q58, Q85, Y510",NULL,FRA(I)
ANAKI,44°12'04''N,008°43'32''E,"L50, M198, P860, Y15","MF star, MG sid, MJ star, MJ sid, MJ ial",FRA(I)
ANAXA,41°26'07''N,012°13'24''E,NULL,RF star,
ANIRE,37°18'28''N,015°38'38''E,NULL,CC star,
ANJAT,45°30'51''N,010°46'12''E,T897,PX star,
ANZOM,40°58'33''N,014°43'59''E,NULL,RN star,
AOSTA,45°47'47''N,007°20'45''E,"L615, M621, M729",MC sid,FRA(X)
APFIB,41°19'38''N,016°45'49''E,NULL,BD ial,
APRIV,44°40'57''N,009°52'35''E,NULL,"ME sid, ML sid",
APSUX,41°11'10''N,010°34'55''E,"Q710, T1",NULL,FRA(I)
APVAR,39°02'09''N,015°56'46''E,M729,"BC sid, CA star, CA sid, CA ial",FRA(I)
ARBIP,40°30'02''N,018°06'46''E,NULL,"BR star, BR ial",
